date,open,close,low,high,volume
2021-10-04,70.38,69.22,69.2,70.38,868571
2021-10-05,69.22,69.86,69.4,70.6,910039
2021-10-06,70.0,70.64,69.16,71.5,2165717
2021-10-07,71.0,71.6,70.64,71.78,1433530
2021-10-08,71.58,70.98,70.46,72.4,1411423
2021-10-11,71.0,70.36,70.22,71.2,586566
2021-10-12,70.18,70.7,70.2,70.88,527329
2021-10-13,70.46,70.22,69.78,70.8,719089
2021-10-14,70.22,70.8,69.8,70.38,652025
2021-10-15,70.8,69.68,69.5,70.26,494346
2021-10-18,69.6,69.76,69.34,70.1,572973
2021-10-19,69.82,69.26,69.2,69.98,648138
2021-10-20,69.4,68.58,68.2,69.24,708019
2021-10-21,68.5,67.64,67.12,69.16,1160635
2021-10-22,67.7,67.9,67.66,68.32,614908
2021-10-25,67.12,67.84,67.12,68.5,500235
2021-10-26,67.86,67.52,67.5,68.0,369944
2021-10-27,67.5,68.94,67.16,68.94,800847
2021-10-28,68.6,68.18,67.56,69.38,1004992
2021-10-29,68.14,68.48,67.74,69.34,1107783
2021-11-01,68.48,67.98,67.72,68.82,568571
2021-11-02,68.0,67.64,67.3,68.34,549295
2021-11-03,67.54,67.92,67.14,68.16,433615
2021-11-05,67.9,68.42,67.82,68.5,455998
2021-11-08,68.48,68.8,68.48,69.4,814982
2021-11-09,68.88,68.6,68.32,69.18,577642
2021-11-10,68.98,67.84,67.66,68.98,769666
2021-11-11,67.2,67.8,66.28,67.38,2328136
2021-11-12,67.0,65.98,65.1,67.44,1953265
2021-11-15,66.0,67.68,66.0,67.78,1430578
2021-11-16,67.8,67.1,66.92,68.6,626576
2021-11-17,67.32,66.92,66.6,67.4,487271
2021-11-18,67.0,67.14,66.74,67.54,737672
2021-11-19,67.2,66.4,65.22,67.42,1191221
2021-11-22,66.2,65.2,64.86,66.52,1391737
2021-11-23,65.2,64.72,63.16,65.2,2361814
2021-11-24,64.78,64.22,64.1,65.1,709259
2021-11-25,64.5,64.7,64.2,64.78,486454
2021-11-26,63.5,60.98,59.88,63.66,3180570
2021-11-29,61.8,61.1,60.84,62.48,1589323
2021-11-30,60.44,60.32,59.22,61.28,1936907
2021-12-01,60.58,62.0,60.58,63.2,1551291
2021-12-02,62.4,62.84,61.24,64.76,1902534
2021-12-03,63.2,62.26,61.78,63.42,708290
2021-12-06,62.26,61.8,60.2,62.96,1204140
2021-12-07,61.46,62.4,60.78,62.94,869680
2021-12-08,62.3,61.64,60.98,63.18,877383
2021-12-09,61.96,61.4,60.8,62.2,762848
2021-12-10,60.94,60.2,59.82,61.28,1068654
2021-12-13,60.44,60.2,58.84,60.9,1884018
2021-12-14,59.8,59.5,58.0,59.96,2234699
2021-12-15,59.5,59.36,58.66,59.78,985714
2021-12-16,59.4,60.16,58.92,60.56,1284524
2021-12-17,60.16,60.4,59.52,60.32,733318
2021-12-20,59.86,59.2,58.5,59.86,1062273
2021-12-21,59.4,59.68,58.82,59.96,826407
2021-12-22,59.68,59.18,58.94,59.84,831453
2021-12-23,59.32,59.2,58.66,59.44,788272
2021-12-24,59.3,58.96,58.64,59.4,698601
2021-12-27,58.96,59.8,58.82,59.16,794466
2021-12-28,59.8,58.92,58.72,59.42,1064839
2021-12-29,58.94,58.98,58.56,59.12,531871
2021-12-30,59.2,59.16,58.74,59.24,452201
2022-01-03,59.16,60.7,59.1,60.9,920862
2022-01-04,60.92,63.3,60.38,63.36,1818080
2022-01-05,63.3,60.98,60.8,63.5,1330969
2022-01-06,60.72,62.96,60.44,63.0,1167155
2022-01-10,63.58,63.2,62.52,63.86,805665
2022-01-11,63.22,63.2,62.9,63.58,512744
2022-01-12,63.34,62.44,62.12,63.4,803636
2022-01-13,62.26,60.16,59.26,62.46,2171116
2022-01-14,60.26,59.86,58.7,60.86,2420557
2022-01-17,60.0,58.98,58.28,60.28,1275755
2022-01-18,59.24,55.46,53.8,59.24,4596036
2022-01-19,55.62,56.62,51.68,57.48,4785447
2022-01-20,56.98,57.2,55.18,58.12,2211471
2022-01-21,56.7,56.56,55.2,57.96,1760708
2022-01-24,56.0,52.22,50.4,57.2,5368915
2022-01-25,52.2,52.4,51.4,53.0,2175060
2022-01-26,52.1,52.64,51.48,54.34,2155654
2022-01-27,52.5,55.2,52.8,55.78,2751419
2022-01-28,55.36,55.54,53.64,56.3,2030432
2022-01-31,55.54,57.32,55.48,57.6,1478046
2022-02-01,57.32,57.12,56.32,57.86,1045643
2022-02-02,57.0,57.2,56.54,58.48,1554810
2022-02-03,56.9,55.7,55.4,57.16,1438875
2022-02-04,55.82,56.18,55.52,56.9,1026453
2022-02-07,56.34,56.18,55.74,56.78,463930
2022-02-08,56.36,57.18,55.98,57.3,904423
2022-02-09,57.42,59.2,57.16,59.5,2180966
2022-02-10,59.1,59.76,58.38,61.78,3146597
2022-02-11,59.98,58.3,57.6,60.76,2604671
2022-02-14,57.52,57.3,56.14,58.26,2097542
2022-02-15,57.2,59.42,57.2,59.74,1552589
2022-02-16,59.58,60.42,59.3,60.84,1233195
2022-02-17,60.42,58.8,57.6,60.66,1560810
2022-02-18,58.18,55.7,55.2,58.98,1859698
2022-02-21,55.7,46.6,42.14,56.88,8793291
2022-02-22,46.5,49.52,43.4,50.16,5426452
2022-02-24,44.5,35.7,29.6,45.8,6709388
2022-02-25,35.5,36.74,34.26,39.6,2725186
2022-03-24,33.8,30.7,29.18,36.0,3015204
2022-03-25,27.64,25.1,25.1,30.4,4138474
2022-03-28,25.76,25.86,23.72,27.3,1812722
2022-03-29,26.4,30.1,25.88,33.66,3872376
2022-03-30,31.14,37.54,31.6,37.54,3995145
2022-03-31,39.5,37.74,35.28,39.88,4135650
2022-04-01,38.26,38.8,37.1,40.0,2841148
2022-04-04,39.52,40.9,37.6,42.66,4965553
2022-04-05,41.54,37.76,35.5,41.54,2261879
2022-04-06,37.4,37.18,36.8,38.52,960982
2022-04-07,37.18,37.58,37.4,39.2,863027
2022-04-08,37.88,36.94,36.18,37.88,609457
2022-04-11,36.92,35.46,35.36,37.22,994670
2022-04-12,35.46,34.6,32.4,35.6,911477
2022-04-13,33.9,33.86,33.52,34.76,467482
2022-04-14,34.1,32.74,32.66,34.28,452210
2022-04-15,33.98,32.96,32.2,33.98,563713
2022-04-18,33.0,31.32,31.3,33.6,442013
2022-04-19,31.5,30.52,27.94,31.6,1186472
2022-04-20,30.48,32.5,29.8,34.0,1701902
2022-04-21,32.26,31.12,31.12,33.44,986643
2022-04-22,31.6,30.62,30.12,31.98,590935
2022-04-25,30.5,29.2,28.66,30.6,658350
2022-04-26,29.2,30.18,29.8,30.76,690711
2022-04-27,30.3,32.4,30.22,33.14,1129318
2022-04-28,32.94,30.8,30.76,34.2,1464878
2022-04-29,30.84,31.14,30.3,31.74,766117
2022-05-04,32.12,31.2,31.4,32.68,1138130
2022-05-05,31.26,30.7,30.4,31.74,664101
2022-05-06,30.8,30.1,30.4,30.8,306164
2022-05-11,30.0,29.92,29.62,30.54,383481
2022-05-12,29.92,29.32,29.14,30.2,315954
2022-05-13,29.5,29.26,29.8,29.82,294531
2022-05-16,29.28,29.52,29.0,29.7,377351
2022-05-17,29.62,30.36,29.6,31.3,1017135
2022-05-18,30.36,30.6,29.52,30.9,1005368
2022-05-19,30.6,29.56,29.2,30.22,527323
2022-05-20,29.56,29.32,29.14,29.98,378424
2022-05-23,29.4,28.4,28.34,29.6,392744
2022-05-24,28.4,28.6,27.64,29.42,820322
2022-05-25,28.7,28.5,28.14,29.8,324989
2022-05-26,28.84,29.4,28.56,29.48,858882
2022-05-27,29.52,28.54,27.6,30.0,890423
2022-05-30,28.74,28.58,28.42,29.2,345408
2022-05-31,28.88,28.0,28.0,28.88,248292
2022-06-01,28.0,27.94,27.68,28.44,601030
2022-06-02,27.94,26.98,26.92,28.2,614647
2022-06-03,26.8,26.74,25.7,27.16,964044
2022-06-06,26.74,25.92,25.8,27.0,637125
2022-06-07,25.9,27.2,25.24,28.0,1866720
2022-06-08,27.54,27.14,26.82,28.3,1794953
2022-06-09,27.2,26.36,26.1,27.3,605732
2022-06-10,26.36,26.3,26.1,26.58,296599
