date,open,close,low,high,volume
2021-10-04,138.95,135.65,134.52,139.34,2541134
2021-10-05,136.36,135.8,132.63,136.5,3419414
2021-10-06,134.99,131.99,130.32,135.39,4470425
2021-10-07,131.0,133.8,127.45,135.2,5270189
2021-10-08,133.8,138.48,133.5,139.12,3517271
2021-10-11,139.12,142.35,139.12,142.79,5164045
2021-10-12,142.77,143.62,141.9,143.9,4240736
2021-10-13,143.2,139.56,137.64,143.6,5712206
2021-10-14,139.9,138.2,137.51,140.49,2760558
2021-10-15,138.1,137.95,136.71,139.2,4567856
2021-10-18,129.9,128.58,127.2,130.97,6679557
2021-10-19,128.99,132.76,127.68,132.96,3769103
2021-10-20,132.75,131.4,130.24,132.75,2234130
2021-10-21,131.37,130.99,130.11,132.47,2341643
2021-10-22,131.0,127.6,127.1,131.3,2319119
2021-10-25,128.18,128.2,127.1,130.36,2485230
2021-10-26,128.82,130.78,128.1,131.75,2876833
2021-10-27,130.84,129.82,129.15,132.0,1785204
2021-10-28,129.94,129.54,128.25,130.5,2879548
2021-10-29,129.4,125.21,124.47,129.44,2533212
2021-11-01,125.3,130.43,123.2,130.86,3331874
2021-11-02,129.91,132.0,128.13,133.13,3606422
2021-11-03,131.4,130.59,129.2,132.66,2208878
2021-11-05,129.95,128.4,127.54,131.46,1352058
2021-11-08,128.5,132.4,128.5,133.18,2486705
2021-11-09,132.0,130.68,130.3,134.59,2589009
2021-11-10,129.87,131.9,129.8,133.39,2867316
2021-11-11,131.86,134.3,130.9,134.74,3000348
2021-11-12,134.63,131.29,129.22,135.97,4267894
2021-11-15,131.3,130.89,130.52,132.88,2300893
2021-11-16,131.0,132.25,131.0,133.9,2384446
2021-11-17,133.38,132.25,131.3,133.38,1844744
2021-11-18,132.19,134.5,131.68,135.5,3529394
2021-11-19,135.5,130.43,128.6,135.69,3185815
2021-11-22,130.5,124.78,122.55,131.0,3350108
2021-11-23,124.46,131.0,121.53,131.53,3690152
2021-11-24,131.24,127.0,125.4,131.87,2447254
2021-11-25,127.0,125.25,124.64,128.2,1157060
2021-11-26,123.75,120.58,120.2,124.26,1993146
2021-11-29,122.98,124.99,121.4,127.25,2903102
2021-11-30,123.7,128.44,122.55,129.49,5949810
2021-12-01,129.0,128.83,127.51,130.85,2716149
2021-12-02,128.32,130.13,126.73,130.5,1646216
2021-12-03,130.27,127.73,126.5,130.6,1840720
2021-12-06,127.73,125.44,123.44,128.73,1171645
2021-12-07,125.7,127.94,124.61,128.64,1807864
2021-12-08,128.4,126.15,125.2,128.66,2539215
2021-12-09,126.15,126.87,124.86,127.84,1695193
2021-12-10,126.41,122.62,121.52,127.0,1854198
2021-12-13,122.78,114.3,113.9,124.2,3556801
2021-12-14,115.0,118.4,107.45,118.42,5210540
2021-12-15,117.99,118.35,115.31,119.64,1917902
2021-12-16,118.59,116.62,115.6,119.85,3053276
2021-12-17,116.92,114.77,113.8,117.55,3941854
2021-12-20,112.5,114.2,111.31,115.9,2030576
2021-12-21,114.44,113.54,112.3,115.6,2210934
2021-12-22,113.54,113.48,112.73,114.44,1692934
2021-12-23,114.0,113.7,112.4,114.5,1414580
2021-12-24,113.95,115.3,113.7,115.45,1044747
2021-12-27,115.82,116.55,114.99,116.89,1153211
2021-12-28,116.86,119.98,116.2,120.53,1825935
2021-12-29,119.2,121.25,118.6,121.36,1758301
2021-12-30,121.27,122.34,119.52,123.6,2044293
2022-01-03,122.46,123.27,122.22,123.91,934941
2022-01-04,123.39,123.82,122.41,124.32,1131642
2022-01-05,123.8,117.71,117.4,124.26,1630018
2022-01-06,117.51,119.33,115.4,120.29,2096334
2022-01-10,119.85,117.48,115.55,120.8,1692303
2022-01-11,117.48,121.71,117.24,121.94,2565417
2022-01-12,121.95,120.11,118.6,122.2,2323025
2022-01-13,120.93,118.48,117.0,120.93,3875027
2022-01-14,118.23,118.61,113.47,119.1,3482615
2022-01-17,118.58,117.15,115.36,119.55,1664243
2022-01-18,117.14,108.33,108.5,117.54,4740812
2022-01-19,108.11,109.41,102.26,112.4,6050636
2022-01-20,109.42,110.84,106.84,114.19,5602145
2022-01-21,110.0,107.0,106.0,113.5,5345900
2022-01-24,106.2,102.63,96.52,107.99,6026808
2022-01-25,102.15,107.26,99.35,107.3,4821143
2022-01-26,107.3,103.81,103.2,108.14,3130210
2022-01-27,103.59,107.0,103.26,110.55,4029914
2022-01-28,107.0,110.59,107.0,110.6,2319277
2022-01-31,110.59,113.8,110.59,117.36,4365494
2022-02-01,113.98,114.98,112.4,116.35,2057908
2022-02-02,115.0,117.68,114.36,118.0,2243552
2022-02-03,117.1,115.23,114.1,117.53,2731970
2022-02-04,115.61,116.34,114.54,118.1,2768198
2022-02-07,116.45,115.98,113.66,116.95,1949510
2022-02-08,115.35,118.78,115.24,118.98,2202685
2022-02-09,118.8,122.32,118.8,122.69,2573683
2022-02-10,122.35,122.8,119.6,124.32,2748318
2022-02-11,122.51,117.88,117.0,123.26,2745433
2022-02-14,117.0,115.52,114.14,120.62,5790865
2022-02-15,116.32,115.79,113.3,118.18,4464242
2022-02-16,116.0,115.6,113.62,117.3,4319099
