date,open,close,low,high,volume
2021-10-04,76.4,75.0,74.65,77.5,49033
2021-10-05,75.3,77.32,75.27,77.95,56256
2021-10-06,77.37,77.0,76.78,78.78,53465
2021-10-07,78.49,79.16,77.1,80.28,50236
2021-10-08,79.89,81.77,79.2,82.0,59118
2021-10-11,81.77,85.13,81.77,89.46,209798
2021-10-12,86.9,86.7,84.11,87.0,85298
2021-10-13,88.49,86.7,85.1,90.5,129591
2021-10-14,86.49,85.2,84.56,87.47,54448
2021-10-15,85.99,85.37,84.71,86.14,22932
2021-10-18,85.9,84.79,84.52,85.95,27471
2021-10-19,85.99,85.71,83.68,86.71,44488
2021-10-20,86.61,85.15,84.79,86.88,53793
2021-10-21,84.62,85.8,84.62,86.96,47095
2021-10-22,85.31,86.57,85.31,88.41,55742
2021-10-25,87.1,85.2,84.83,87.1,53938
2021-10-26,85.1,87.42,84.89,88.29,63263
2021-10-27,88.0,90.68,87.12,90.87,165982
2021-10-28,90.68,90.6,87.68,92.24,132471
2021-10-29,91.91,90.85,89.56,92.5,70084
2021-11-01,90.85,93.67,89.27,93.68,107994
2021-11-02,93.78,94.45,91.36,95.18,91962
2021-11-03,93.63,92.8,92.56,94.49,113170
2021-11-05,93.38,93.24,90.99,95.5,95460
2021-11-08,95.19,89.9,88.61,95.19,242301
2021-11-09,90.0,91.98,88.25,92.99,77109
2021-11-10,91.95,93.43,91.9,94.0,103115
2021-11-11,93.4,91.51,90.7,93.5,95996
2021-11-12,92.28,90.75,90.34,93.99,60227
2021-11-15,90.99,93.0,90.43,93.94,115958
2021-11-16,93.24,91.51,91.1,94.0,33555
2021-11-17,91.99,91.99,90.35,93.18,49970
2021-11-18,93.18,89.5,89.1,93.9,105826
2021-11-19,90.0,89.3,87.28,92.5,108988
2021-11-22,88.0,86.56,85.25,88.35,140382
2021-11-23,86.99,87.71,83.1,90.1,125104
2021-11-24,88.94,90.65,87.8,92.0,139569
2021-11-25,91.0,89.66,89.5,92.2,33881
2021-11-26,89.5,86.5,85.3,90.0,94146
2021-11-29,87.78,88.26,86.33,88.96,33954
2021-11-30,87.9,86.47,86.4,88.76,61006
2021-12-01,87.6,88.15,86.2,88.68,19723
2021-12-02,88.37,87.46,86.9,88.5,21092
2021-12-03,87.9,87.85,86.94,90.89,43511
2021-12-06,87.41,85.84,85.58,89.36,27546
2021-12-07,85.82,85.27,84.38,86.61,43065
2021-12-08,86.0,83.49,83.1,87.3,28668
2021-12-09,83.99,83.73,83.23,84.92,29668
2021-12-10,83.6,82.2,81.9,83.71,33065
2021-12-13,82.18,79.51,79.51,84.3,44720
2021-12-14,78.0,79.15,77.3,81.37,69010
2021-12-15,80.4,80.99,79.87,84.19,37593
2021-12-16,82.8,83.31,81.61,84.9,41865
2021-12-17,82.26,82.5,81.86,83.49,28716
2021-12-20,81.2,82.9,81.2,85.28,32951
2021-12-21,82.94,80.5,80.3,83.94,44946
2021-12-22,81.5,81.82,80.12,83.3,25475
2021-12-23,81.81,81.29,80.52,82.94,23605
2021-12-24,81.0,82.31,81.0,83.63,24197
2021-12-27,82.62,82.48,82.5,83.62,12694
2021-12-28,83.59,83.0,81.8,83.59,25069
2021-12-29,83.1,83.0,83.0,84.3,38578
2021-12-30,82.79,81.5,81.5,84.83,58511
2022-01-03,81.8,84.18,81.2,85.0,25692
2022-01-04,84.2,87.1,84.2,90.0,60466
2022-01-05,86.68,86.11,85.36,89.49,22854
2022-01-06,85.12,85.5,84.82,86.96,28326
2022-01-10,84.97,83.65,83.36,87.33,29541
2022-01-11,83.7,84.82,83.1,86.82,34675
2022-01-12,84.7,87.9,84.14,88.0,41475
2022-01-13,87.56,83.12,82.98,87.95,61437
2022-01-14,84.91,80.68,78.5,86.0,123395
2022-01-17,81.45,79.86,79.19,83.8,68862
2022-01-18,79.51,77.28,77.1,80.59,93517
2022-01-19,77.56,79.74,76.78,82.86,124577
2022-01-20,87.7,81.4,80.0,87.7,121719
