date,open,close,low,high,volume
2021-10-04,7.165,7.191,7.155,7.241,767111
2021-10-05,7.209,7.225,7.138,7.231,761134
2021-10-06,7.234,7.154,7.138,7.256,672594
2021-10-07,7.158,7.196,7.144,7.203,914897
2021-10-08,7.194,7.211,7.15,7.229,564668
2021-10-11,7.236,7.232,7.21,7.28,709739
2021-10-12,7.235,7.249,7.161,7.267,954651
2021-10-13,7.264,7.206,7.127,7.264,695196
2021-10-14,7.214,7.231,7.214,7.272,581776
2021-10-15,7.23,7.179,7.172,7.273,679821
2021-10-18,7.187,7.153,7.116,7.196,768192
2021-10-19,7.174,7.19,7.142,7.208,1112348
2021-10-20,7.198,7.201,7.156,7.228,1241175
2021-10-21,7.191,7.106,7.92,7.25,1242611
2021-10-22,7.115,7.8,7.43,7.181,1045797
2021-10-25,7.11,7.105,7.2,7.129,1295786
2021-10-26,7.115,7.198,7.73,7.208,710557
2021-10-27,7.2,7.23,7.181,7.25,810336
2021-10-28,7.226,7.191,7.147,7.235,740841
2021-10-29,7.19,7.159,7.11,7.196,996304
2021-11-01,7.155,7.293,7.153,7.318,697889
2021-11-02,7.299,7.32,7.206,7.336,877913
2021-11-03,7.312,7.3,7.222,7.312,567546
2021-11-05,7.302,7.306,7.246,7.353,588603
2021-11-08,7.319,7.322,7.305,7.401,773719
2021-11-09,7.323,7.243,7.231,7.36,960180
2021-11-10,7.245,7.172,7.157,7.254,571570
2021-11-11,7.164,7.169,7.75,7.21,750212
2021-11-12,7.173,7.49,6.944,7.173,663674
2021-11-15,7.49,7.34,7.11,7.118,663255
2021-11-16,7.5,6.958,6.937,7.55,687056
2021-11-17,6.969,6.964,6.921,7.18,585462
2021-11-18,6.99,6.936,6.936,7.45,546778
2021-11-19,6.959,6.825,6.798,7.21,628789
2021-11-22,6.823,6.636,6.6,6.834,652921
2021-11-23,6.609,6.732,6.52,6.792,1194786
2021-11-24,6.753,6.749,6.718,6.835,1061767
2021-11-25,6.765,6.683,6.673,6.806,560663
2021-11-26,6.614,6.596,6.484,6.629,786491
2021-11-29,6.611,6.736,6.527,6.749,1727587
2021-11-30,6.698,6.73,6.622,6.755,673169
2021-12-01,6.735,6.797,6.723,6.87,614608
2021-12-02,6.809,6.739,6.555,6.811,1241650
2021-12-03,6.749,6.635,6.621,6.78,492420
2021-12-06,6.8,6.489,6.4719999999999995,6.8,670058
2021-12-07,6.526,6.518,6.425,6.586,624828
2021-12-08,6.549,6.438,6.415,6.572,633150
2021-12-09,6.429,6.461,6.404,6.533,619788
2021-12-10,6.477,6.45,6.401,6.483,707578
2021-12-13,6.45,6.284,6.27,6.468,847551
2021-12-14,6.281,6.237,6.177,6.342,976756
2021-12-15,6.254,6.23,6.195,6.288,757772
2021-12-16,6.225,6.489,6.209,6.516,1287076
2021-12-17,6.514,6.477,6.415,6.515,603630
2021-12-20,6.476,6.416,6.301,6.476,709487
2021-12-21,6.427,6.4879999999999995,6.409,6.54,910041
2021-12-22,6.495,6.599,6.495,6.7059999999999995,691514
2021-12-23,6.616,6.599,6.511,6.625,686751
2021-12-24,6.62,6.556,6.548,6.65,496669
2021-12-27,6.556,6.657,6.549,6.664,460942
2021-12-28,6.664,6.8309999999999995,6.64,6.846,767858
2021-12-29,6.843,6.812,6.779,6.87,640874
2021-12-30,6.813,6.852,6.77,6.881,364336
2022-01-03,6.901,7.41,6.73,7.5600000000000005,317338
2022-01-04,7.38,7.102,7.38,7.234,489882
2022-01-05,7.104,7.36,7.13,7.167,432097
2022-01-06,7.33,6.99,6.85,7.33,420767
2022-01-10,7.9,6.98,6.962,7.13,775152
2022-01-11,6.951,7.126,6.951,7.154,517998
2022-01-12,7.116,7.265,7.116,7.296,726152
2022-01-13,7.261,7.129,7.109,7.274,1021355
2022-01-14,7.127,7.1,6.845,7.27,1868437
2022-01-17,7.7,6.951,6.802,7.91,998388
2022-01-18,6.938,6.557,6.499,6.977,2118301
2022-01-19,6.551,6.896,6.455,6.9030000000000005,1881945
2022-01-20,6.892,7.63,6.839,7.107,1291138
2022-01-21,7.53,7.27,6.833,7.87,1780330
2022-01-24,7.26,6.7059999999999995,6.57,7.44,1641495
2022-01-25,6.714,6.73,6.656,6.865,1569115
2022-01-26,6.735,6.829,6.6370000000000005,6.95,2622566
2022-01-27,6.826,7.83,6.721,7.116,2441706
2022-01-28,7.78,7.192,7.5600000000000005,7.308,1638232
2022-01-31,7.18,7.203,7.15,7.456,2101914
2022-02-01,7.232,7.13,7.102,7.29,897625
2022-02-02,7.194,6.968,6.953,7.199,899462
2022-02-03,6.955,6.854,6.812,6.968,773227
2022-02-04,6.8629999999999995,6.869,6.827,6.969,647584
2022-02-07,6.936,6.805,6.767,6.939,759621
2022-02-08,6.8,6.915,6.752,6.942,743061
2022-02-09,6.923,6.9350000000000005,6.889,7.16,543786
2022-02-10,6.946,6.88,6.837,6.975,584326
2022-02-11,6.89,6.719,6.6899999999999995,6.891,615049
2022-02-14,6.708,6.617,6.553,6.752,802574
2022-02-15,6.618,6.752,6.605,6.8100000000000005,839634
2022-02-16,6.759,6.783,6.723,6.857,595010
2022-02-17,6.813,6.732,6.676,6.813,539329
2022-02-18,6.79,6.487,6.468,6.803,1067365
