date,open,close,low,high,volume
2021-10-04,364.67,376.6,364.3,378.33,10236280
2021-10-05,378.2,389.82,378.2,389.82,13460801
2021-10-06,395.0,381.3,370.25,397.64,21650230
2021-10-07,382.18,370.7,361.61,384.3,16055317
2021-10-08,371.5,366.17,364.77,373.0,7026066
2021-10-11,369.0,369.81,363.7,372.61,7817384
2021-10-12,367.27,364.1,362.25,368.85,5681590
2021-10-13,365.24,362.77,352.71,365.44,10218412
2021-10-14,366.4,367.0,364.35,369.7,5993125
2021-10-15,368.4,367.76,366.61,369.35,3590539
2021-10-18,365.1,363.5,360.15,366.45,4309222
2021-10-19,364.98,368.83,362.24,368.83,5154253
2021-10-20,367.99,369.97,365.5,370.75,3949928
2021-10-21,368.0,363.37,360.88,370.19,4650008
2021-10-22,361.4,358.12,357.48,364.19,4842131
2021-10-25,359.99,364.84,356.69,365.84,5734082
2021-10-26,365.0,364.82,362.54,369.33,5174495
2021-10-27,363.29,362.17,361.18,365.49,3067399
2021-10-28,360.98,353.21,351.62,362.2,8658962
2021-10-29,351.1,350.18,345.4,352.6,7502420
2021-11-01,350.2,359.1,350.2,359.3,4650011
2021-11-02,359.24,352.48,351.24,360.0,4300523
2021-11-03,350.56,353.2,346.62,353.86,3790178
2021-11-05,352.0,350.6,349.23,354.8,2572724
2021-11-08,353.0,351.47,348.34,356.34,3980689
2021-11-09,351.6,349.46,346.99,353.61,3102211
2021-11-10,349.99,345.8,344.2,351.25,3547151
2021-11-11,346.94,347.44,343.8,348.43,4027212
2021-11-12,347.0,333.6,331.0,347.15,12719408
2021-11-15,333.8,340.3,333.67,341.81,6424498
2021-11-16,341.48,336.79,331.61,342.85,6465468
2021-11-17,336.0,349.98,334.83,351.82,7902637
2021-11-18,350.5,345.56,342.28,359.32,10219339
2021-11-19,348.47,337.62,334.2,350.73,9601226
2021-11-22,334.99,319.2,316.66,335.68,15146994
2021-11-23,316.9,341.77,310.62,341.77,15055304
2021-11-24,343.87,338.3,332.75,348.0,9367569
2021-11-25,340.0,337.55,335.7,343.0,4878816
2021-11-26,325.0,326.0,320.1,332.0,10398847
2021-11-29,335.0,339.2,331.96,345.33,9959065
2021-11-30,332.5,334.24,331.5,342.55,13050363
2021-12-01,338.51,345.21,337.61,350.37,9311681
2021-12-02,347.3,350.3,344.8,352.67,7546712
2021-12-03,351.5,345.99,343.21,353.13,5170078
2021-12-06,347.21,338.94,333.35,349.36,8148918
2021-12-07,339.38,344.96,333.43,346.0,7531072
2021-12-08,346.0,340.5,336.53,348.47,7819456
2021-12-09,341.28,336.6,335.72,344.2,6123438
2021-12-10,337.36,332.0,329.98,338.31,4459808
2021-12-13,333.8,307.26,305.76,334.88,14047894
2021-12-14,307.0,319.35,289.78,320.0,16860429
2021-12-15,319.58,324.9,316.5,325.83,7969199
2021-12-16,326.17,328.39,325.38,332.3,9543089
2021-12-17,327.98,327.3,323.3,329.7,7210155
2021-12-20,323.97,325.9,316.11,326.0,7084663
2021-12-21,326.61,339.88,326.5,339.88,8008424
2021-12-22,340.0,345.55,339.29,349.59,9683514
2021-12-23,346.1,339.81,337.0,348.32,7215140
2021-12-24,339.26,338.79,334.55,340.98,3900816
2021-12-27,340.1,343.97,339.76,343.97,2871510
