date,open,close,low,high,volume
2021-10-04,24.4,24.3,24.2,24.6,287
2021-10-05,24.35,24.25,24.25,24.6,617
2021-10-06,24.3,24.2,24.15,24.45,601
2021-10-07,24.35,24.35,24.25,24.45,224
2021-10-08,24.6,24.5,24.3,24.6,397
2021-10-11,24.55,24.4,24.3,24.6,450
2021-10-12,24.3,24.4,24.3,24.55,123
2021-10-13,24.5,24.4,24.3,24.5,526
2021-10-14,24.6,24.3,24.25,24.65,1189
2021-10-15,24.3,24.4,24.2,24.5,1090
2021-10-18,24.5,24.3,24.2,24.7,1133
2021-10-19,24.35,24.35,24.2,24.45,383
2021-10-20,24.5,24.4,24.2,24.6,472
2021-10-21,24.5,24.35,24.25,24.7,796
2021-10-22,24.3,24.3,24.25,24.65,687
2021-10-25,24.6,24.3,24.25,24.6,272
2021-10-26,24.35,24.25,24.25,24.6,681
2021-10-27,24.5,24.2,24.1,24.5,738
2021-10-28,24.35,24.1,24.0,24.35,806
2021-10-29,24.3,24.0,23.95,24.4,650
2021-11-01,24.15,23.95,23.8,24.2,872
2021-11-02,24.0,23.95,23.9,24.1,294
2021-11-03,24.0,23.75,23.7,24.0,787
2021-11-05,23.8,23.95,23.75,24.1,435
2021-11-08,23.9,23.8,23.7,23.95,1069
2021-11-09,23.8,23.8,23.7,23.95,326
2021-11-10,23.85,23.8,23.7,23.85,268
2021-11-11,23.75,24.0,23.3,24.0,1194
2021-11-12,23.8,23.65,23.45,24.0,535
2021-11-15,24.0,23.8,23.6,24.1,749
2021-11-16,23.7,23.6,23.4,23.8,733
2021-11-17,23.5,23.55,23.3,23.7,195
2021-11-18,23.55,23.4,23.2,23.6,878
2021-11-19,23.25,23.0,22.8,23.35,1446
2021-11-22,23.2,22.8,22.55,23.2,775
2021-11-23,22.75,22.7,22.5,23.0,2010
2021-11-24,22.8,22.95,22.8,23.35,784
2021-11-25,23.1,22.85,22.55,23.1,554
2021-11-26,22.8,22.4,22.5,22.8,1087
2021-11-29,22.6,22.0,21.1,22.7,2317
2021-11-30,21.85,21.7,21.5,22.1,1229
2021-12-01,21.7,21.8,21.5,21.95,728
2021-12-02,21.85,21.65,21.5,21.85,629
2021-12-03,21.9,21.6,21.6,21.9,361
2021-12-06,21.7,21.4,21.2,21.7,812
2021-12-07,21.4,21.4,21.2,21.55,264
2021-12-08,21.35,21.4,21.3,21.7,284
2021-12-09,21.6,21.35,21.25,21.6,430
2021-12-10,21.5,21.4,21.2,21.5,429
2021-12-13,21.25,20.0,19.55,21.35,3850
2021-12-14,19.4,20.0,19.4,20.4,915
2021-12-15,20.5,21.0,19.5,23.6,3682
2021-12-16,21.5,22.0,21.2,22.85,2415
2021-12-17,21.85,21.55,21.5,21.85,1229
2021-12-20,21.4,21.35,21.25,21.9,579
2021-12-21,21.5,21.6,21.45,21.95,511
2021-12-22,21.1,21.1,20.8,21.6,644
2021-12-23,21.4,21.0,20.75,21.4,550
2021-12-24,21.0,23.5,20.9,23.95,4080
2021-12-27,23.1,23.25,22.9,24.2,6533
2021-12-28,23.25,22.8,22.3,23.25,2039
2021-12-29,22.8,22.7,22.2,22.9,820
2021-12-30,22.8,22.3,22.0,22.85,954
2022-01-03,22.5,22.25,22.5,22.8,403
2022-01-04,22.3,22.5,22.3,22.95,580
2022-01-05,23.3,22.2,22.5,23.3,514
2022-01-06,22.0,21.95,21.8,22.25,454
2022-01-10,22.0,21.65,20.5,22.1,2021
2022-01-11,21.65,21.9,21.4,22.0,866
2022-01-12,22.0,22.3,22.0,22.4,471
2022-01-13,22.6,22.2,21.6,22.6,3538
2022-01-14,21.7,20.5,20.5,22.3,2153
2022-01-17,20.95,20.2,19.9,20.95,1111
2022-01-18,20.15,19.7,19.5,20.2,2044
2022-01-19,19.9,20.25,19.65,20.65,852
2022-01-20,20.25,20.8,20.25,20.8,444
2022-01-21,20.8,20.85,20.8,21.9,2120
2022-01-24,21.1,19.55,19.55,21.1,1287
2022-01-25,19.75,20.1,19.55,20.45,623
2022-01-26,20.4,20.15,20.1,20.4,155
2022-01-27,20.25,20.7,20.2,20.8,492
2022-01-28,21.9,20.7,20.5,21.9,234
2022-01-31,20.9,20.7,20.55,21.15,328
2022-02-01,20.65,20.85,20.5,21.0,185
2022-02-02,20.65,20.45,20.35,20.65,396
2022-02-03,20.15,20.15,19.9,20.45,548
2022-02-04,20.5,20.0,19.85,20.2,318
2022-02-07,20.4,20.5,20.0,20.4,180
2022-02-08,20.1,20.35,20.1,20.35,39
2022-02-09,20.45,20.75,20.2,20.85,516
2022-02-10,20.95,21.5,20.7,21.5,850
2022-02-11,20.75,20.7,20.5,20.75,581
2022-02-14,20.65,20.2,19.7,20.65,1069
2022-02-15,20.5,20.35,20.3,20.8,220
2022-02-16,20.35,20.8,20.35,20.9,813
2022-02-17,22.5,21.4,20.95,22.5,1729
2022-02-18,21.6,20.65,20.5,21.75,420
2022-02-21,21.3,19.4,19.0,21.3,2050
2022-02-22,19.5,19.8,18.3,19.8,1929
2022-02-24,20.0,15.5,12.4,20.0,4223
2022-02-25,16.4,16.0,13.85,18.6,1682
2022-03-28,16.0,17.5,15.45,18.2,2462
2022-03-29,17.95,21.35,17.0,21.6,3734
2022-03-30,22.0,21.5,21.0,24.4,5424
2022-03-31,20.35,26.45,20.35,26.85,11751
2022-04-01,26.45,24.3,22.9,26.55,8591
2022-04-04,23.5,26.0,23.5,26.0,4449
2022-04-05,26.0,23.95,23.25,26.4,1351
2022-04-06,23.65,23.8,23.4,24.55,1324
2022-04-07,24.5,23.35,23.0,24.1,724
2022-04-08,23.5,23.4,23.0,24.1,698
2022-04-11,23.5,22.5,22.1,23.6,761
2022-04-12,24.75,23.35,21.95,24.75,1072
2022-04-13,23.3,22.9,22.7,23.3,137
2022-04-14,22.75,22.6,22.3,23.35,640
2022-04-15,22.5,22.15,21.8,23.5,977
2022-04-18,22.25,22.15,21.8,22.7,430
2022-04-19,22.15,23.45,21.5,25.85,4211
2022-04-20,23.45,23.1,22.0,23.65,957
2022-04-21,23.3,24.2,23.0,24.35,857
2022-04-22,24.7,24.15,22.8,25.9,2023
2022-04-25,24.9,23.9,23.0,24.9,783
2022-04-26,22.95,23.8,22.95,23.95,814
2022-04-27,24.5,23.6,23.3,24.5,863
2022-04-28,23.6,23.4,23.5,23.8,388
2022-04-29,23.5,23.2,22.9,23.55,733
2022-05-04,23.0,22.4,22.4,23.2,662
2022-05-05,22.85,28.35,22.85,29.75,54329
2022-05-06,28.7,25.2,24.7,29.6,18924
2022-05-11,25.3,24.95,24.3,25.95,4683
2022-05-12,24.95,24.15,23.7,24.95,2989
2022-05-13,24.5,24.45,23.7,24.8,2112
2022-05-16,24.8,25.95,24.6,26.6,5262
2022-05-17,26.0,25.9,25.0,26.5,5052
2022-05-18,25.6,25.95,25.5,26.55,1909
2022-05-19,26.7,26.0,25.6,26.7,1668
2022-05-20,26.0,25.9,25.75,26.5,1006
2022-05-23,25.9,24.9,24.1,26.35,1823
2022-05-24,24.9,24.9,24.4,25.45,1441
2022-05-25,24.7,24.4,24.25,24.95,1164
2022-05-26,24.5,24.35,24.3,24.85,524
2022-05-27,24.3,25.2,24.3,25.75,1680
2022-05-30,24.95,26.2,24.95,27.45,5426
2022-05-31,26.0,26.6,25.85,26.85,1595
2022-06-01,26.4,27.3,26.4,27.85,3061
2022-06-02,27.7,26.7,26.65,27.9,1240
2022-06-03,26.65,25.7,25.2,26.7,1684
2022-06-06,25.7,27.15,25.7,27.85,3583
2022-06-07,27.15,27.2,26.5,27.5,2096
2022-06-08,28.6,28.6,27.45,29.7,6489
2022-06-09,28.7,27.75,27.5,29.1,1721
2022-06-10,27.9,30.95,27.9,33.6,14493
2022-06-14,31.65,29.6,29.0,31.65,5438
2022-06-15,29.6,32.35,29.6,32.5,6763
2022-06-16,32.35,34.5,31.1,34.6,13504
2022-06-17,34.5,34.5,33.0,35.9,12322
2022-06-20,34.95,34.1,33.1,35.5,6331
2022-06-21,34.45,33.0,32.1,34.45,3467
2022-06-22,33.5,35.55,32.35,36.55,13679
2022-06-23,35.7,35.1,34.7,36.0,5484
2022-06-24,35.2,34.9,34.1,35.4,5664
2022-06-27,35.2,35.6,34.7,35.95,3710
2022-06-28,35.65,37.2,35.6,38.25,10869
2022-06-29,37.6,39.8,37.4,39.9,13186
2022-06-30,39.8,44.5,39.1,46.6,31236
2022-07-01,44.9,54.6,44.6,56.0,41537
2022-07-04,54.7,69.7,54.7,69.9,99597
2022-07-05,70.3,50.5,50.3,76.0,120253
2022-07-06,48.8,41.8,41.1,49.2,56011
2022-07-07,42.0,54.35,42.0,56.5,183334
2022-07-08,55.0,54.7,48.9,62.9,180791
2022-07-11,54.7,55.7,54.7,59.3,45290
2022-07-12,55.8,52.7,49.5,58.0,41214
