date,open,close,low,high,volume
2021-10-04,7000.0,7134.5,6940.5,7160.5,1571027
2021-10-05,7160.0,7346.5,7123.0,7417.0,1668719
2021-10-06,7410.0,7096.0,7030.0,7417.0,1551510
2021-10-07,7132.0,7165.0,6984.5,7189.5,1283053
2021-10-08,7205.0,7220.0,7170.5,7279.0,923113
2021-10-11,7299.5,7264.0,7253.0,7320.0,741798
2021-10-12,7210.0,7306.0,7192.0,7332.0,818744
2021-10-13,7333.0,7252.0,7070.5,7333.5,1258019
2021-10-14,7285.5,7215.0,7172.0,7319.0,805588
2021-10-15,7252.0,7306.5,7195.0,7318.0,951697
2021-10-18,7320.0,7319.0,7271.5,7364.0,712413
2021-10-19,7336.0,7373.0,7240.5,7373.0,761317
2021-10-20,7363.0,7439.0,7320.0,7460.0,855886
2021-10-21,7400.0,7232.0,7202.5,7429.0,930432
2021-10-22,7213.0,7200.0,7172.0,7314.5,818201
2021-10-25,7239.0,7441.5,7215.0,7483.0,1354256
2021-10-26,7449.0,7440.5,7381.0,7525.0,1135365
2021-10-27,7405.0,7323.5,7322.0,7486.5,746908
2021-10-28,7286.0,7288.5,7190.0,7320.0,1384301
2021-10-29,7260.0,7272.5,7118.0,7315.0,1312010
2021-11-01,7265.0,7293.0,7242.0,7327.5,594953
2021-11-02,7304.0,7214.0,7193.5,7394.0,947056
2021-11-03,7190.0,7175.0,7125.0,7202.5,595413
2021-11-05,7132.0,7199.0,7082.0,7205.0,593784
2021-11-08,7240.0,7208.5,7202.0,7275.0,511327
2021-11-09,7200.0,7188.0,7117.5,7255.0,792586
2021-11-10,7209.0,7137.5,7120.0,7266.0,656131
2021-11-11,7158.0,7094.5,6969.0,7171.0,1090798
2021-11-12,7061.5,6878.0,6835.0,7067.0,1937979
2021-11-15,6852.0,6918.5,6815.0,6979.5,909467
2021-11-16,6956.0,6946.5,6905.0,7006.0,847410
2021-11-17,6945.0,6884.5,6840.0,6950.0,1145303
2021-11-18,6832.0,6840.0,6783.5,6887.0,814976
2021-11-19,6897.0,6709.0,6660.0,6902.5,1373061
2021-11-22,6690.0,6575.5,6532.0,6756.5,1752869
2021-11-23,6551.0,6829.5,6490.0,6837.0,1588951
2021-11-24,6850.5,6814.5,6686.5,6891.0,1372747
2021-11-25,6814.5,6661.5,6655.0,6890.5,1077873
2021-11-26,6462.0,6374.0,6335.5,6516.5,2177305
