date,open,close,low,high,volume
2021-10-04,170.5,167.73,167.43,171.47,873077
2021-10-05,168.27,174.0,167.62,174.0,1216297
2021-10-06,173.15,173.74,171.9,175.76,834689
2021-10-07,173.89,177.6,172.92,178.1,613929
2021-10-08,177.51,174.9,173.73,177.51,558912
2021-10-11,174.45,176.54,174.23,177.77,620986
2021-10-12,176.7,182.82,175.96,184.36,1197948
2021-10-13,182.56,181.36,177.84,182.82,919205
2021-10-14,181.99,181.42,180.76,183.91,507455
2021-10-15,181.7,185.72,179.42,186.49,1140403
2021-10-18,186.3,184.9,183.13,187.0,999555
2021-10-19,185.9,180.44,178.87,185.91,1120399
2021-10-20,180.52,173.5,171.78,180.6,2870380
2021-10-21,173.49,170.68,170.0,173.49,2588732
2021-10-22,170.6,171.0,169.4,173.56,1770866
2021-10-25,170.55,174.23,170.31,175.16,1199051
2021-10-26,175.0,173.43,171.8,175.64,780194
2021-10-27,173.0,173.69,171.71,174.99,821416
2021-10-28,173.2,175.52,173.2,176.5,951791
2021-10-29,176.14,173.35,172.5,176.14,677695
2021-11-01,173.15,174.82,172.51,175.58,787759
2021-11-02,175.28,173.17,173.7,175.3,496356
2021-11-03,173.17,173.9,171.23,175.19,740690
2021-11-05,174.68,172.97,172.26,174.92,445461
2021-11-08,172.97,172.9,172.35,174.26,626113
2021-11-09,173.42,172.9,172.3,173.95,751064
2021-11-10,173.28,170.16,169.62,173.59,813572
2021-11-11,170.26,171.11,167.68,171.49,859257
2021-11-12,171.49,169.64,168.1,171.66,809113
2021-11-15,169.27,171.69,168.82,173.7,743108
2021-11-16,172.18,169.26,168.22,173.9,829131
2021-11-17,169.4,168.49,168.1,170.0,992626
2021-11-18,168.49,165.35,164.22,168.49,835621
2021-11-19,165.88,161.8,160.78,167.65,1034603
2021-11-22,161.5,154.35,151.6,162.47,1908689
2021-11-23,154.0,159.45,151.0,159.45,1791944
2021-11-24,160.1,154.25,153.1,162.96,1965983
2021-11-25,154.48,156.33,154.15,157.62,866452
2021-11-26,153.3,150.5,149.5,154.27,1186288
2021-11-29,151.89,152.7,151.2,154.13,844807
2021-11-30,150.3,151.15,148.74,153.59,1925219
2021-12-01,152.82,157.21,152.35,159.14,1453890
2021-12-02,157.9,161.0,157.22,161.46,1151800
2021-12-03,162.7,157.8,157.0,163.42,1402519
2021-12-06,158.49,156.7,154.0,160.0,808420
2021-12-07,156.66,160.24,152.8,160.62,1221333
2021-12-08,160.75,156.5,155.15,161.99,829683
2021-12-09,157.0,154.22,153.54,157.63,698624
2021-12-10,154.4,152.53,150.75,154.74,589855
2021-12-13,152.15,148.15,147.22,153.94,968604
2021-12-14,148.15,148.6,138.73,149.5,1273682
2021-12-15,147.51,147.0,144.6,149.87,1256448
2021-12-16,147.37,147.75,146.4,149.49,1334838
2021-12-17,147.51,147.48,144.7,148.79,1405124
2021-12-20,147.3,145.72,143.64,147.3,890956
2021-12-21,145.8,145.3,144.27,146.8,593811
2021-12-22,145.48,146.7,144.57,148.0,609924
2021-12-23,147.45,149.19,146.51,150.37,993340
2021-12-24,149.71,149.53,148.11,152.97,632014
2021-12-27,150.39,151.7,149.9,153.52,713560
2021-12-28,152.15,151.42,151.27,153.34,720963
2021-12-29,151.84,152.57,150.8,152.59,526641
2021-12-30,152.57,153.22,152.1,153.67,531835
2022-01-03,153.59,156.46,153.3,156.88,394061
2022-01-04,157.37,155.95,155.11,158.94,746268
2022-01-05,156.47,148.24,148.3,157.7,1079452
2022-01-06,149.73,149.2,146.4,151.66,1060581
2022-01-10,149.8,145.3,142.77,150.98,1353500
2022-01-11,145.87,150.3,145.23,150.92,1254905
2022-01-12,150.33,151.38,147.72,151.62,969787
2022-01-13,150.75,147.65,145.2,152.47,1371680
2022-01-14,147.66,144.27,137.57,149.25,2686230
2022-01-17,144.63,139.32,136.7,145.24,2317027
2022-01-18,139.98,132.0,128.44,139.98,3012113
2022-01-19,132.18,138.64,124.5,140.8,2738704
2022-01-20,138.64,144.0,137.75,147.21,2193767
2022-01-21,143.84,145.98,141.23,148.93,2048724
2022-01-24,146.56,143.33,137.0,147.9,2608667
2022-01-25,143.4,142.84,138.8,145.7,1904912
2022-01-26,144.5,141.22,139.32,146.88,1629004
2022-01-27,140.71,144.91,140.1,147.8,1484648
2022-01-28,145.25,144.4,142.5,147.4,1028310
2022-01-31,145.43,145.5,143.51,146.5,955363
2022-02-01,145.1,145.57,143.65,146.34,745668
2022-02-02,145.57,142.9,141.21,146.0,1048321
2022-02-03,142.47,137.69,136.79,142.5,1233158
2022-02-04,138.54,141.9,137.77,141.43,1117537
2022-02-07,140.1,141.59,139.88,142.16,568879
2022-02-08,141.66,142.5,140.65,143.94,979078
2022-02-09,142.3,142.19,141.28,143.58,1233702
2022-02-10,142.43,140.6,139.66,142.8,1338516
2022-02-11,140.6,136.2,135.4,140.64,1333797
2022-02-14,135.95,134.49,131.44,137.57,2017899
2022-02-15,135.0,137.5,133.81,138.18,1773897
2022-02-16,137.31,141.89,136.55,141.9,1825388
2022-02-17,141.0,137.49,135.85,141.53,1774472
2022-02-18,138.48,133.16,132.16,139.43,1586990
2022-02-21,132.4,118.78,110.0,135.89,4644719
2022-02-22,115.0,115.79,108.85,120.3,7715720
2022-02-24,104.15,92.54,73.37,106.0,4214277
2022-02-25,95.51,95.51,91.3,110.0,2402107
2022-03-24,94.51,100.75,91.11,110.1,793108
2022-03-25,107.88,96.57,95.3,108.0,316492
2022-03-28,97.1,93.5,92.4,97.1,244151
2022-03-29,92.0,88.42,86.0,94.0,522394
2022-03-30,89.5,92.0,87.8,92.23,427367
2022-03-31,93.97,99.5,92.68,100.0,806575
2022-04-01,101.2,111.45,101.2,114.0,1297534
2022-04-04,111.91,111.7,110.0,117.0,814133
2022-04-05,112.45,103.65,100.0,112.45,658474
2022-04-06,103.8,102.5,100.17,106.0,292922
2022-04-07,102.0,103.18,101.66,109.9,370318
2022-04-08,103.26,102.29,100.5,104.66,188349
2022-04-11,102.74,100.77,100.7,103.7,140744
2022-04-12,101.1,99.5,96.5,101.48,242229
