date,open,close,low,high,volume
2021-10-04,328.0,327.35,326.7,330.45,312771
2021-10-05,327.35,327.7,325.5,328.75,376878
2021-10-06,327.5,327.55,326.4,328.8,309262
2021-10-07,327.5,328.5,327.25,329.95,343355
2021-10-08,329.0,328.9,327.45,329.8,659865
2021-10-11,319.8,319.0,318.3,321.85,1008258
2021-10-12,319.25,318.5,317.4,320.0,455300
2021-10-13,318.5,317.15,315.65,318.4,484602
2021-10-14,317.3,319.55,317.2,321.5,343733
2021-10-15,319.9,318.8,318.0,321.0,215700
2021-10-18,319.0,319.4,316.3,320.0,372166
2021-10-19,319.8,319.1,318.15,320.5,157740
2021-10-20,319.1,319.25,317.85,319.95,188774
2021-10-21,318.85,316.85,316.15,319.2,287660
2021-10-22,316.85,316.25,315.45,318.0,304168
2021-10-25,316.25,316.25,314.55,316.8,209263
2021-10-26,316.3,313.95,313.5,316.35,378935
2021-10-27,313.95,312.9,311.6,314.0,325361
2021-10-28,312.85,312.2,310.0,313.5,377365
2021-10-29,311.95,311.35,310.5,313.7,437860
2021-11-01,311.35,312.85,310.5,313.6,258687
2021-11-02,313.15,313.35,311.75,315.35,350289
2021-11-03,313.6,313.6,311.25,313.95,154436
2021-11-05,313.6,313.2,312.5,315.5,181391
2021-11-08,313.5,313.55,313.15,314.7,184541
2021-11-09,313.55,316.5,312.8,317.2,384213
2021-11-10,316.4,316.2,314.85,317.3,241661
2021-11-11,316.9,316.45,315.65,318.2,179978
2021-11-12,316.5,317.75,315.25,318.2,220989
2021-11-15,318.0,316.8,315.75,318.3,160002
2021-11-16,318.0,317.5,316.5,318.75,171102
2021-11-17,318.0,312.5,311.95,318.4,582203
2021-11-18,312.4,312.8,311.4,314.8,362716
2021-11-19,314.75,310.1,310.0,314.75,311535
2021-11-22,309.2,305.2,305.15,311.8,729573
2021-11-23,305.5,307.45,301.7,309.4,553831
2021-11-24,308.45,305.5,303.55,308.85,280753
2021-11-25,305.75,306.5,304.1,307.3,140112
2021-11-26,304.5,299.5,298.0,304.9,595017
2021-11-29,301.0,296.5,294.8,301.6,503127
2021-11-30,295.85,293.75,291.0,296.0,441034
2021-12-01,294.0,296.45,294.0,300.0,248219
2021-12-02,297.95,297.85,294.8,298.4,214056
2021-12-03,298.5,295.1,294.15,298.35,198658
2021-12-06,295.25,293.85,290.35,300.6,269556
2021-12-07,293.65,291.45,289.55,294.95,310436
2021-12-08,291.5,290.1,287.5,294.15,433174
2021-12-09,291.0,288.45,287.55,291.3,273709
2021-12-10,288.45,287.5,285.15,290.65,489662
2021-12-13,288.1,277.45,276.55,289.2,562986
2021-12-14,278.5,276.25,265.7,280.1,492317
2021-12-15,276.25,279.85,276.25,284.5,560974
2021-12-16,279.95,286.95,278.1,287.7,693429
2021-12-17,287.0,289.4,285.0,292.5,636323
2021-12-20,289.4,290.4,285.15,291.3,327633
2021-12-21,291.0,290.5,288.2,291.75,426228
2021-12-22,290.15,291.25,289.55,295.4,296544
2021-12-23,292.5,290.55,289.7,292.75,146668
2021-12-24,291.5,290.7,287.2,292.5,183540
2021-12-27,291.0,293.95,290.5,294.95,195562
2021-12-28,294.5,295.6,293.5,297.2,202199
2021-12-29,295.8,296.4,294.1,297.55,141228
2021-12-30,296.4,298.9,295.55,298.95,113160
2022-01-03,299.0,304.65,298.5,305.0,209303
2022-01-04,304.9,304.95,302.85,306.5,185362
2022-01-05,305.15,298.3,298.3,306.0,184053
2022-01-06,298.0,299.2,295.35,300.6,244401
2022-01-10,302.0,295.85,291.1,302.3,179260
2022-01-11,295.75,296.2,293.55,297.5,180923
2022-01-12,297.0,296.45,294.2,301.0,183410
2022-01-13,297.2,291.65,287.95,298.35,344459
2022-01-14,291.9,289.65,281.6,292.7,459662
2022-01-17,289.5,281.7,276.1,291.45,553425
2022-01-18,278.0,272.95,267.1,284.0,1011299
2022-01-19,273.1,274.8,267.0,286.7,894594
2022-01-20,275.7,274.4,273.2,280.65,528530
2022-01-21,274.2,273.45,272.5,279.7,460723
2022-01-24,273.95,272.95,263.3,275.45,1057906
2022-01-25,272.3,279.45,268.2,279.5,576488
2022-01-26,279.45,277.9,276.25,284.9,559959
2022-01-27,277.3,278.45,275.5,289.0,608586
2022-01-28,280.0,285.55,275.2,285.55,349397
2022-01-31,286.0,287.4,286.0,292.0,480657
2022-02-01,288.7,289.6,286.25,291.0,244046
2022-02-02,289.7,285.8,285.5,290.9,205766
2022-02-03,286.1,284.6,280.0,286.15,204683
2022-02-04,284.6,283.25,281.5,288.3,170340
2022-02-07,285.0,284.45,282.25,286.7,103655
2022-02-08,283.65,289.75,283.55,290.15,148895
2022-02-09,290.0,289.9,286.75,290.5,358847
2022-02-10,289.95,293.45,283.6,294.9,445736
2022-02-11,292.5,284.8,282.7,292.95,335015
2022-02-14,283.5,280.8,276.5,286.7,505784
2022-02-15,281.45,287.3,280.7,287.85,327524
2022-02-16,287.0,287.4,286.0,291.65,297188
2022-02-17,287.4,283.45,281.1,287.8,453715
2022-02-18,284.95,272.85,271.3,286.9,526890
2022-02-21,272.85,239.75,226.0,278.0,2020730
2022-02-22,235.45,260.85,219.5,263.9,1671939
2022-02-24,235.0,206.65,155.0,240.0,1084152
2022-02-25,205.0,217.5,205.0,247.8,614611
2022-03-24,200.0,205.6,198.15,236.0,313410
2022-03-25,206.95,190.6,188.2,208.25,390601
2022-03-28,190.6,184.8,181.2,194.2,97354
2022-03-29,184.8,174.7,171.5,188.65,199131
2022-03-30,177.15,233.0,177.15,235.0,350591
2022-03-31,229.0,238.65,212.15,248.0,391572
2022-04-01,238.6,235.0,232.0,248.1,140711
2022-04-04,235.0,231.0,224.2,239.5,108550
2022-04-05,230.5,218.0,215.35,231.5,102173
2022-04-06,217.0,215.0,212.0,220.0,69794
2022-04-07,215.0,216.5,215.0,221.85,54176
2022-04-08,235.0,215.2,213.0,235.0,206756
2022-04-11,217.8,211.75,210.1,217.8,68808
2022-04-12,214.0,210.9,204.0,214.0,88257
2022-04-13,214.75,210.5,210.0,215.9,72622
2022-04-14,212.5,205.8,205.0,213.2,54809
2022-04-15,205.7,207.35,200.45,211.7,104837
2022-04-18,207.9,203.8,203.2,213.4,90729
2022-04-19,205.0,201.8,195.1,205.0,119429
2022-04-20,201.5,196.95,195.25,202.4,160804
2022-04-21,197.3,192.4,192.3,198.25,107520
2022-04-22,194.4,188.5,188.5,194.75,103854
2022-04-25,188.1,185.0,181.65,188.3,134134
2022-04-26,185.0,196.35,184.55,197.3,391331
2022-04-27,196.8,207.6,194.35,208.2,475668
2022-04-28,208.0,205.0,202.25,212.7,284009
2022-04-29,205.65,209.5,205.5,209.35,111313
2022-05-04,209.5,208.7,207.15,212.2,84517
2022-05-05,208.7,214.1,208.7,214.95,105850
2022-05-06,214.0,211.0,209.25,214.4,90831
2022-05-11,211.25,209.45,206.1,211.25,79093
2022-05-12,208.4,200.1,198.3,209.3,159365
2022-05-13,201.5,200.85,199.0,202.95,118006
2022-05-16,201.5,210.0,200.45,210.0,118805
