date,open,close,low,high,volume
2021-10-04,3635.0,3513.5,3480.0,3638.0,284160
2021-10-05,3513.5,3507.0,3489.5,3568.0,257863
2021-10-06,3506.5,3531.0,3483.0,3541.5,215327
2021-10-07,3562.0,3545.0,3535.0,3596.5,185468
2021-10-08,3567.5,3545.0,3535.5,3595.5,163548
2021-10-11,3566.5,3484.5,3461.5,3574.5,276967
2021-10-12,3494.0,3368.0,3350.0,3495.0,391411
2021-10-13,3365.0,3345.0,3321.0,3407.5,350002
2021-10-14,3367.5,3301.0,3247.0,3408.0,473906
2021-10-15,3307.5,3364.0,3277.5,3384.0,298452
2021-10-18,3379.0,3490.5,3325.5,3508.0,396335
2021-10-19,3515.0,3474.0,3401.5,3515.5,228556
2021-10-20,3483.0,3417.5,3400.5,3483.0,225829
2021-10-21,3429.0,3389.5,3385.0,3457.0,154664
2021-10-22,3400.0,3307.0,3290.5,3426.5,307403
2021-10-25,3319.0,3348.5,3305.0,3384.5,198314
2021-10-26,3360.0,3246.5,3239.0,3362.0,277544
2021-10-27,3255.5,3268.5,3205.5,3293.0,228823
2021-10-28,3270.0,3285.0,3222.0,3297.0,189511
2021-10-29,3299.0,3190.0,3185.0,3312.5,195613
2021-11-01,3200.0,3236.5,3190.0,3286.5,173130
2021-11-02,3243.0,3191.5,3164.5,3255.0,189880
2021-11-03,3199.0,3219.0,3158.0,3250.0,159613
2021-11-05,3218.5,3139.5,3103.0,3218.5,237313
2021-11-08,3150.0,3174.0,3139.5,3203.5,173313
2021-11-09,3173.0,3151.0,3122.0,3229.5,210288
2021-11-10,3147.0,3139.0,3126.5,3194.0,129970
2021-11-11,3139.0,3096.0,3092.0,3178.0,265567
2021-11-12,3110.0,3085.0,3006.0,3120.0,370844
2021-11-15,3080.0,3145.0,3061.0,3183.0,317180
2021-11-16,3169.5,3113.0,3021.0,3190.5,463884
2021-11-17,3150.0,3201.5,3114.0,3338.0,850007
2021-11-18,3225.0,3471.0,3195.0,3482.0,822201
2021-11-19,3498.0,3365.5,3304.0,3498.0,642603
2021-11-22,3360.0,3179.5,3132.0,3400.0,565537
2021-11-23,3220.0,3098.5,3070.0,3247.0,588003
2021-11-24,3093.0,3055.5,3002.0,3134.5,415309
2021-11-25,3067.5,3077.0,3016.0,3112.5,164941
2021-11-26,3040.0,3028.5,3002.0,3083.0,261362
2021-11-29,3030.0,3041.0,3004.0,3119.0,287884
2021-11-30,3028.5,2993.5,2912.0,3096.0,569375
2021-12-01,3001.0,3012.0,2951.0,3055.0,296958
2021-12-02,3024.0,2888.5,2874.0,3030.0,503939
2021-12-03,2890.0,2681.5,2675.5,2915.0,629165
2021-12-06,2700.0,2665.0,2550.0,2735.0,674417
2021-12-07,2707.5,2698.0,2616.0,2749.0,490333
2021-12-08,2698.5,2694.5,2632.5,2745.5,271542
2021-12-09,2705.0,2622.0,2619.5,2759.0,288492
2021-12-10,2635.0,2528.0,2510.0,2658.5,306233
2021-12-13,2527.0,2446.5,2420.0,2588.5,361926
2021-12-14,2458.5,2350.0,2222.0,2480.0,582011
2021-12-15,2350.0,2290.0,2226.0,2396.5,598942
2021-12-16,2308.0,2404.5,2265.5,2541.0,919493
2021-12-17,2420.0,2413.0,2344.0,2447.0,494157
2021-12-20,2412.5,2249.0,2226.0,2425.0,562105
2021-12-21,2269.0,2300.5,2231.5,2323.0,445731
2021-12-22,2301.0,2294.0,2287.5,2385.5,480186
2021-12-23,2295.0,2252.0,2206.0,2328.5,450009
2021-12-24,2250.0,2263.0,2236.5,2276.0,131474
2021-12-27,2272.5,2290.5,2269.0,2329.5,288047
2021-12-28,2300.5,2242.5,2240.0,2324.0,395368
2021-12-29,2251.5,2189.0,2155.0,2277.5,494925
2021-12-30,2171.0,2316.5,2171.0,2333.5,418108
2022-01-03,2292.0,2238.5,2212.0,2323.0,560223
2022-01-04,2244.5,2209.0,2168.0,2287.0,521538
2022-01-05,2215.0,2029.5,2024.5,2229.5,718690
2022-01-06,2029.5,2061.0,1992.0,2106.0,605695
2022-01-10,2106.0,2008.5,1969.5,2107.0,505349
2022-01-11,2012.0,2054.0,1992.0,2099.5,447102
2022-01-12,2060.0,2073.5,2043.0,2103.5,392112
2022-01-13,2088.5,1877.0,1870.0,2088.5,898184
2022-01-14,1875.0,1757.5,1710.5,1908.0,1326408
2022-01-17,1761.0,1812.5,1732.0,1839.0,468442
2022-01-18,1822.5,1667.0,1625.0,1836.5,980006
2022-01-19,1669.0,1574.5,1557.0,1722.0,1492106
2022-01-20,1578.5,1500.0,1500.0,1637.0,1758553
2022-01-21,1490.0,1399.0,1392.5,1533.0,1249636
2022-01-24,1404.0,1335.0,1221.0,1423.0,1854007
2022-01-25,1325.0,1362.5,1265.0,1397.5,1557965
2022-01-26,1382.0,1340.0,1325.0,1468.0,1760575
2022-01-27,1337.0,1422.5,1308.0,1481.0,1525069
2022-01-28,1421.5,1393.5,1362.0,1494.0,1461158
