date,open,close,low,high,volume
2021-10-04,78.0,80.0,78.0,82.4,1332
2021-10-05,80.0,82.0,78.8,85.8,1148
2021-10-06,79.8,82.0,79.8,84.0,177
2021-10-07,81.2,81.2,80.0,82.4,194
2021-10-08,81.2,82.8,81.2,83.4,91
2021-10-11,83.6,82.0,79.8,83.6,94
2021-10-12,79.8,81.4,79.8,81.8,66
2021-10-13,80.0,79.6,79.0,83.0,257
2021-10-14,81.2,81.6,77.4,83.4,1608
2021-10-15,80.0,80.6,80.0,83.0,988
2021-10-18,81.4,80.2,78.6,81.4,128
2021-10-19,80.2,79.8,79.8,80.8,251
2021-10-20,79.8,80.4,79.0,82.0,430
2021-10-21,80.4,80.2,79.0,82.0,171
2021-10-22,80.0,80.4,79.4,81.8,145
2021-10-25,79.2,80.2,79.2,80.8,68
2021-10-26,80.2,80.2,80.0,80.6,19
2021-10-27,80.2,79.8,79.4,80.2,25
2021-10-28,79.2,79.2,79.0,80.4,23
2021-10-29,80.2,79.0,79.0,80.2,33
2021-11-01,78.8,79.2,78.8,79.8,26
2021-11-02,79.4,80.2,79.0,80.2,58
2021-11-03,80.2,79.8,79.0,80.2,59
2021-11-05,79.8,79.2,79.0,80.0,47
2021-11-08,79.0,79.8,79.0,80.2,87
2021-11-09,79.6,79.2,79.0,79.6,249
2021-11-10,79.0,79.2,78.8,79.2,18
2021-11-11,79.2,79.0,78.8,79.4,60
2021-11-12,79.6,79.4,78.8,81.0,156
2021-11-15,79.2,79.6,79.2,80.2,112
2021-11-16,80.0,79.6,79.4,80.0,23
2021-11-17,79.4,78.6,78.0,80.0,494
2021-11-18,78.8,78.4,77.6,85.0,2540
2021-11-19,78.8,78.8,78.2,79.2,172
2021-11-22,78.2,78.0,77.8,78.4,112
2021-11-23,78.0,78.0,77.6,78.0,177
2021-11-24,77.8,78.0,77.6,78.0,77
2021-11-25,78.2,78.2,77.8,78.2,14
2021-11-26,77.8,77.2,77.0,78.2,99
2021-11-29,76.8,77.2,75.4,77.4,221
2021-11-30,77.4,77.4,77.4,77.8,13
2021-12-01,77.2,77.8,77.2,77.8,15
2021-12-02,77.4,77.8,77.4,77.8,12
2021-12-03,78.0,77.2,77.0,78.0,16
2021-12-06,77.0,77.2,77.0,77.4,15
2021-12-07,76.8,77.4,76.8,77.4,18
2021-12-08,77.2,77.0,76.8,77.4,38
2021-12-09,77.0,76.6,76.2,77.4,67
2021-12-10,76.2,76.0,76.0,76.2,20
2021-12-13,76.2,75.2,75.0,76.2,140
2021-12-14,75.6,75.0,75.0,75.8,18
2021-12-15,75.0,75.6,75.0,76.4,19
2021-12-16,76.4,77.6,76.4,77.6,26
2021-12-17,76.6,76.0,76.0,76.6,10
2021-12-20,76.0,76.0,75.2,77.8,37
2021-12-21,75.6,75.6,75.2,75.6,8
2021-12-22,76.0,75.2,73.6,76.0,70
2021-12-23,74.6,75.0,74.0,75.0,21
2021-12-24,74.2,74.0,74.0,75.0,57
2021-12-27,75.2,76.8,75.2,77.8,158
2021-12-28,76.8,74.4,74.4,80.0,415
2021-12-29,76.0,74.8,74.8,76.2,17
2021-12-30,75.0,76.0,75.0,76.0,19
2022-01-03,76.2,75.6,75.6,76.2,15
2022-01-04,76.4,76.0,74.4,78.0,179
2022-01-05,77.0,76.0,76.0,78.0,77
2022-01-06,76.6,75.8,75.8,76.6,15
2022-01-10,75.6,76.6,74.6,76.6,52
2022-01-11,76.4,75.0,75.0,76.4,54
2022-01-12,75.8,76.0,75.6,76.2,17
2022-01-13,75.6,75.4,75.2,75.6,13
2022-01-14,75.6,75.8,75.2,75.8,84
2022-01-17,75.6,74.4,74.4,75.6,72
2022-01-18,74.2,72.6,72.4,74.6,348
2022-01-19,72.4,74.8,70.4,75.4,245
2022-01-20,75.6,73.6,72.4,75.8,69
2022-01-21,74.0,74.2,72.8,77.8,67
2022-01-24,74.0,71.6,70.4,74.6,149
2022-01-25,70.2,71.8,70.0,77.8,65
2022-01-26,71.4,72.2,70.8,77.0,145
2022-01-27,72.4,74.4,72.4,78.0,101
2022-01-28,76.2,74.0,74.0,76.2,10
2022-01-31,74.0,74.8,74.0,75.4,8
2022-02-01,75.0,75.0,74.4,75.0,5
2022-02-02,74.2,73.6,72.8,75.0,75
2022-02-03,73.6,73.2,72.4,73.6,21
2022-02-04,72.6,73.4,72.6,73.6,47
2022-02-07,73.4,73.2,73.2,74.0,39
2022-02-08,73.0,73.4,72.2,73.6,40
2022-02-09,72.8,74.0,72.8,74.0,26
2022-02-10,74.2,74.0,74.0,74.8,46
2022-02-11,73.8,73.2,73.0,73.8,22
2022-02-14,72.4,73.4,72.4,74.4,38
2022-02-15,73.4,73.2,73.0,73.6,7
2022-02-16,73.0,74.6,73.0,77.0,54
2022-02-17,75.0,74.0,73.4,77.0,43
2022-02-18,73.8,73.6,73.6,74.0,17
2022-02-21,74.4,69.8,69.8,77.0,174
2022-02-22,69.8,67.6,51.2,72.2,327
2022-02-24,50.0,57.8,50.0,79.8,387
2022-02-25,65.0,68.6,65.0,79.0,841
2022-03-28,68.6,67.0,42.4,68.6,186
2022-03-29,67.8,66.6,58.2,67.8,196
2022-03-30,58.0,73.2,58.0,77.0,220
2022-03-31,77.0,75.0,67.2,80.2,572
2022-04-01,75.0,75.4,72.0,77.0,359
2022-04-04,74.6,74.2,73.0,75.4,144
2022-04-05,73.4,72.0,72.0,73.4,69
2022-04-06,71.4,69.0,60.0,72.2,643
2022-04-07,67.0,68.6,66.0,69.4,79
2022-04-08,68.4,68.4,68.4,69.0,183
2022-04-11,75.2,95.4,75.2,95.4,5495
2022-04-12,104.8,133.4,104.8,133.4,7971
2022-04-13,146.6,146.6,146.0,146.6,6723
2022-04-14,161.0,161.0,160.0,161.0,2080
2022-04-15,176.6,176.6,176.6,176.6,845
2022-05-24,111.0,112.6,105.8,146.8,11833
2022-05-25,113.0,112.0,109.8,123.0,6599
2022-05-26,112.4,108.6,100.4,115.2,1943
2022-05-27,108.0,103.0,101.6,108.0,751
2022-05-30,102.2,112.8,102.2,112.8,3276
2022-05-31,113.2,106.6,100.0,118.6,4521
