date,open,close,low,high,volume
2021-10-04,90.4,89.3,88.7,90.47,209375
2021-10-05,89.3,89.7,88.94,90.2,199033
2021-10-06,90.4,89.53,89.5,90.11,205783
2021-10-07,89.79,89.91,89.32,91.0,270509
2021-10-08,90.23,91.62,89.76,91.95,182616
2021-10-11,91.98,91.84,91.8,91.99,166783
2021-10-12,91.62,91.16,90.62,92.7,259156
2021-10-13,91.53,92.7,91.6,93.38,309732
2021-10-14,92.51,93.51,92.51,94.37,228223
2021-10-15,93.83,93.42,92.9,94.4,132336
2021-10-18,93.12,94.8,92.77,94.43,173071
2021-10-19,94.0,94.34,93.6,94.44,140800
2021-10-20,94.43,95.74,94.39,97.4,484868
2021-10-21,95.95,94.28,93.75,96.75,221938
2021-10-22,94.8,94.84,94.8,96.15,142306
2021-10-25,94.85,93.92,93.25,95.84,221272
2021-10-26,94.48,92.68,92.22,94.48,173750
2021-10-27,92.47,93.64,92.26,93.84,155974
2021-10-28,93.96,92.78,91.77,93.96,214795
2021-10-29,92.7,93.25,92.52,94.28,197843
2021-11-01,93.6,93.13,92.41,93.98,161213
2021-11-02,92.8,93.1,92.1,94.11,160605
2021-11-03,93.13,92.7,91.56,93.29,122211
2021-11-05,92.7,92.6,91.82,92.93,175035
2021-11-08,92.6,93.1,92.31,93.69,110303
2021-11-09,92.9,92.46,92.15,94.25,238041
2021-11-10,92.41,91.32,91.11,92.86,204408
2021-11-11,91.67,91.6,90.63,92.48,209263
2021-11-12,91.72,92.18,91.12,92.78,223522
2021-11-15,92.2,92.19,91.86,93.2,127748
2021-11-16,92.1,92.7,91.51,93.9,276696
2021-11-17,92.7,92.33,91.85,93.22,261465
2021-11-18,92.15,93.45,91.92,93.48,139473
2021-11-19,93.5,91.64,90.94,93.5,258628
2021-11-22,91.64,90.1,89.18,92.64,413465
2021-11-23,90.9,88.52,87.71,90.55,491110
2021-11-24,88.77,87.3,86.61,88.94,317038
2021-11-25,86.85,86.95,86.7,87.81,235173
2021-11-26,86.16,85.3,85.25,86.78,276674
2021-11-29,85.8,86.15,85.35,86.88,172381
2021-11-30,85.79,84.8,84.2,85.98,300566
2021-12-01,85.1,86.32,85.1,87.21,195238
2021-12-02,86.61,87.35,86.8,87.64,107400
2021-12-03,87.48,85.6,85.5,87.57,168764
2021-12-06,85.6,86.22,84.63,86.99,184111
2021-12-07,86.39,88.1,85.2,88.8,254271
2021-12-08,88.49,88.37,87.64,90.46,262649
2021-12-09,88.96,88.46,87.55,90.14,152544
2021-12-10,88.2,87.4,86.5,88.94,150341
2021-12-13,88.35,84.11,83.43,88.84,278685
2021-12-14,84.3,83.92,80.6,84.49,339261
2021-12-15,83.52,84.64,82.72,85.62,188870
2021-12-16,85.45,85.38,84.2,85.97,365850
2021-12-17,85.52,85.0,84.38,86.33,341698
2021-12-20,85.0,84.11,83.37,85.0,168537
2021-12-21,84.66,84.1,83.25,84.83,195265
2021-12-22,83.79,83.16,83.16,84.43,166803
2021-12-23,83.54,82.51,82.29,83.8,222212
2021-12-24,82.5,82.25,81.15,82.65,189552
2021-12-27,82.5,83.34,81.68,83.34,148944
2021-12-28,83.0,83.1,82.72,85.19,298131
2021-12-29,83.57,84.1,82.26,84.28,198978
