date,open,close,low,high,volume
2021-10-04,71.65,69.9,69.75,71.66,1537268
2021-10-05,70.225,70.75,69.355,71.495,1552452
2021-10-06,70.47,70.125,69.14,71.15,1631900
2021-10-07,70.85,72.5,69.75,73.12,2644865
2021-10-08,72.5,74.31,71.4,75.0,4024626
2021-10-11,74.5,77.0,74.455,77.43,4325552
2021-10-12,76.1,76.21,75.55,77.6,2794786
2021-10-13,76.79,75.915,75.505,77.45,2536079
2021-10-14,76.505,79.0,76.505,79.455,3297408
2021-10-15,79.605,83.41,79.1,83.93,4219732
2021-10-18,83.505,83.415,81.505,86.0,5686819
2021-10-19,83.25,79.975,77.615,83.375,8401524
2021-10-20,79.0,81.335,78.25,81.695,5345971
2021-10-21,80.4,78.62,76.855,80.495,4150789
2021-10-22,77.155,77.58,76.36,78.74,2920432
2021-10-25,78.1,79.345,76.505,79.85,2451272
2021-10-26,78.505,78.185,77.505,79.7,2447838
2021-10-27,76.25,74.42,74.7,76.89,4817582
2021-10-28,71.885,74.465,70.2,74.9,7631333
2021-10-29,72.75,71.705,71.25,72.75,4293021
2021-11-01,71.15,72.685,70.605,74.3,4004860
2021-11-02,72.235,71.195,71.1,72.78,2520514
2021-11-03,71.695,70.675,69.7,71.98,2430052
2021-11-05,67.88,67.9,67.305,68.7,4402690
2021-11-08,67.9,69.175,67.85,69.5,2944894
2021-11-09,68.75,73.435,68.495,74.85,7490831
2021-11-10,73.0,71.655,71.13,73.945,3286367
2021-11-11,72.6,74.42,72.385,74.975,3932963
2021-11-12,75.7,74.1,71.305,76.25,6524937
2021-11-15,73.74,71.7,71.55,73.78,3522100
2021-11-16,72.6,72.44,72.0,73.465,3037252
2021-11-17,72.36,73.16,72.29,73.915,2330036
2021-11-18,72.86,71.815,70.35,73.25,3455350
2021-11-19,72.54,70.195,68.205,73.18,4130778
2021-11-22,70.3,67.62,66.5,70.83,5499346
2021-11-23,67.8,71.475,67.3,71.67,3826306
2021-11-24,71.5,71.9,71.15,73.4,2831110
2021-11-25,72.1,72.88,71.815,73.5,2329846
2021-11-26,69.675,69.2,68.92,71.46,3775758
2021-11-29,70.5,71.8,70.2,72.7,3454853
2021-11-30,70.95,67.805,66.9,71.99,34141377
2021-12-01,68.5,68.38,67.65,69.485,3181159
2021-12-02,68.4,68.915,66.515,69.895,3684281
2021-12-03,69.155,68.62,67.82,69.88,1581680
2021-12-06,68.47,67.8,67.0,68.765,2121200
2021-12-07,68.75,71.22,67.53,71.75,2646917
2021-12-08,70.9,70.745,70.1,72.495,1881991
2021-12-09,70.25,71.615,69.75,72.75,1893878
2021-12-10,71.44,70.5,69.6,71.905,1206128
2021-12-13,70.95,68.295,66.83,71.16,2136059
2021-12-14,67.22,66.855,62.65,68.495,3374063
2021-12-15,66.6,66.67,63.8,67.675,2263797
2021-12-16,66.55,67.765,65.25,69.77,2835985
2021-12-17,67.96,68.95,66.25,68.28,2127509
2021-12-20,67.13,67.4,65.3,67.995,1833343
2021-12-21,67.1,68.99,66.2,69.25,2459116
2021-12-22,68.845,69.45,68.5,69.73,2437848
2021-12-23,69.705,70.77,69.2,71.25,2050164
2021-12-24,70.91,70.7,70.0,71.25,954205
2021-12-27,71.8,72.4,70.75,72.45,1057225
2021-12-28,72.1,72.765,71.84,73.8,1306809
2021-12-29,72.9,73.36,71.9,73.975,1365528
2021-12-30,73.1,73.245,72.82,74.0,1224055
2022-01-03,73.55,73.755,73.25,74.495,675336
2022-01-04,74.0,74.15,72.25,74.38,1103401
2022-01-05,73.85,73.65,73.0,77.5,2902832
2022-01-06,74.2,74.54,73.47,75.75,1254867
2022-01-10,75.8,76.3,75.505,77.98,3043170
2022-01-11,76.25,76.9,74.75,77.7,1689822
2022-01-12,77.2,78.25,76.71,79.495,3534279
2022-01-13,78.805,75.8,74.13,79.96,5951132
2022-01-14,76.355,74.0,71.38,77.5,4022199
2022-01-17,74.0,73.735,70.9,75.87,3542365
2022-01-18,73.85,70.45,68.35,74.82,3882657
2022-01-19,70.66,73.6,66.5,73.75,5412346
2022-01-20,73.6,74.5,73.175,75.57,2585800
2022-01-21,73.48,73.55,72.6,74.25,2604551
2022-01-24,69.8,69.935,65.555,72.42,4699637
2022-01-25,68.5,70.215,67.765,70.75,2420151
2022-01-26,70.5,70.75,67.76,72.72,2736023
2022-01-27,69.745,72.64,69.155,74.495,3598662
2022-01-28,72.35,72.9,71.67,73.44,1502831
2022-01-31,72.0,72.42,72.0,73.78,1539612
2022-02-01,72.42,71.595,71.25,72.86,835251
2022-02-02,71.6,69.995,69.615,72.24,1364211
2022-02-03,69.81,70.89,69.25,70.94,1270789
2022-02-04,70.66,71.36,70.25,72.165,1471560
2022-02-07,70.75,71.8,70.1,71.405,847032
2022-02-08,70.76,76.2,70.225,76.4,4261250
2022-02-09,76.78,79.99,76.25,80.45,4097396
2022-02-10,79.7,83.5,78.505,85.475,6316473
2022-02-11,82.32,79.7,79.8,84.245,7124818
2022-02-14,79.64,83.4,77.11,84.7,5281035
2022-02-15,83.41,86.35,82.25,87.285,4530117
2022-02-16,85.625,89.0,85.625,89.25,3334865
2022-02-17,89.0,83.245,80.755,89.24,5542225
2022-02-18,83.1,80.5,77.3,84.75,4318585
2022-02-21,79.0,69.5,64.28,82.335,10027274
2022-02-22,68.51,75.7,64.31,78.8,10124022
2022-02-24,68.65,67.25,45.455,77.7,5947953
2022-02-25,58.395,60.55,58.395,73.995,4627020
2022-03-24,62.0,69.55,62.0,71.995,4633935
2022-03-25,73.0,66.59,65.0,73.0,915610
2022-03-28,67.45,64.935,63.0,68.985,742711
2022-03-29,65.2,63.0,61.0,68.3,1939160
2022-03-30,66.0,65.475,64.5,67.0,608857
2022-03-31,66.0,68.0,64.96,68.5,1075454
2022-04-01,68.5,69.5,68.1,70.5,1157931
2022-04-04,70.0,71.92,67.61,73.4,1108385
2022-04-05,71.95,72.2,70.0,72.72,744926
2022-04-06,71.98,70.2,70.0,72.1,408120
2022-04-07,70.495,68.95,68.375,71.0,243610
2022-04-08,69.0,68.75,67.1,70.0,281405
