date,open,close,low,high,volume
2021-10-04,337.9,345.85,336.22,349.31,6012121
2021-10-05,346.78,363.2,344.9,365.0,8681671
2021-10-06,366.0,364.28,359.35,375.48,9580186
2021-10-07,367.69,368.93,365.88,374.0,4955195
2021-10-08,370.0,373.1,368.0,374.55,3104758
2021-10-11,375.0,387.6,375.0,388.11,6669919
2021-10-12,385.88,377.79,376.72,386.86,5166539
2021-10-13,378.86,378.8,370.81,380.91,5468428
2021-10-14,382.0,376.9,374.57,383.13,3636340
2021-10-15,377.92,371.82,370.43,378.41,3736814
2021-10-18,369.35,364.6,363.75,369.91,3823220
2021-10-19,366.14,373.18,361.5,373.4,4003173
2021-10-20,371.83,370.16,367.1,371.97,2753725
2021-10-21,368.2,364.6,363.2,371.14,2449802
2021-10-22,364.0,364.37,362.37,370.39,2637851
2021-10-25,366.2,369.99,361.68,371.7,3563783
2021-10-26,369.89,372.16,365.66,374.63,4183377
2021-10-27,371.0,371.36,366.51,374.0,3644714
2021-10-28,370.5,365.36,362.32,374.92,5388009
2021-10-29,364.34,356.14,352.68,364.34,5354153
2021-11-01,356.15,370.96,356.14,371.47,5512785
2021-11-02,371.0,370.7,367.2,374.0,3772246
2021-11-03,370.0,370.13,365.3,370.5,3087610
2021-11-05,366.99,360.21,358.5,367.56,3922961
2021-11-08,362.57,358.39,355.6,363.97,3973542
2021-11-09,358.41,357.44,355.6,364.58,4171842
2021-11-10,356.7,348.65,348.0,358.8,4655439
2021-11-11,350.11,356.24,347.22,357.89,4288717
2021-11-12,356.24,347.59,339.68,356.37,10067172
2021-11-15,349.24,344.39,342.76,352.8,5996028
2021-11-16,345.99,337.91,336.1,346.47,6196624
2021-11-17,338.49,339.89,336.6,343.57,4976991
2021-11-18,338.97,336.93,333.5,343.12,4712340
2021-11-19,339.37,327.56,325.7,339.99,6710180
2021-11-22,326.5,309.15,306.67,326.39,14434377
2021-11-23,306.28,326.84,300.1,327.1,14484929
2021-11-24,328.0,321.22,317.35,329.97,7790958
2021-11-25,322.35,317.29,316.11,322.96,4407282
2021-11-26,307.14,304.42,303.22,312.0,9068126
2021-11-29,311.11,316.57,309.42,322.15,8259590
2021-11-30,311.0,315.0,310.9,318.58,9819147
2021-12-01,321.3,324.4,319.51,329.44,6993002
2021-12-02,325.4,326.8,320.54,329.0,6144492
2021-12-03,327.6,320.66,318.4,328.95,4310619
2021-12-06,322.0,307.5,304.18,324.16,11236311
2021-12-07,307.14,309.79,300.5,313.3,15353905
2021-12-08,310.99,296.95,291.57,316.88,24073412
2021-12-09,297.49,300.4,292.5,304.94,13331142
2021-12-10,300.5,297.44,294.43,304.28,8202348
2021-12-13,298.23,280.64,280.8,300.99,14621785
2021-12-14,280.2,284.9,261.5,286.9,17642272
2021-12-15,284.9,286.65,279.44,287.79,8742793
2021-12-16,287.7,295.89,286.2,298.7,13438919
2021-12-17,295.0,294.9,291.61,296.73,10977057
2021-12-20,293.11,288.4,285.63,293.11,7967136
2021-12-21,289.8,291.7,286.76,293.4,6493319
2021-12-22,291.8,294.0,289.23,297.23,6385692
2021-12-23,294.68,292.8,291.26,298.1,5553499
2021-12-24,292.92,293.89,289.0,294.18,3767085
2021-12-27,295.2,295.68,293.37,296.0,3424319
2021-12-28,295.84,295.0,294.18,297.55,3785020
2021-12-29,295.5,293.51,291.33,295.55,3761404
2021-12-30,293.6,293.49,291.52,294.89,4256620
2022-01-03,295.9,305.47,294.34,305.5,5018262
2022-01-04,305.51,304.24,301.63,310.1,5326001
2022-01-05,303.72,287.1,287.0,304.26,6999369
2022-01-06,286.6,293.92,281.0,295.1,7916945
2022-01-10,297.2,291.69,288.68,298.88,6663538
2022-01-11,293.4,291.88,288.71,293.94,5883443
2022-01-12,292.82,290.4,285.5,292.92,8174125
2022-01-13,289.56,272.5,269.9,290.37,21123266
2022-01-14,272.39,261.0,249.2,277.98,40611377
2022-01-17,262.15,257.78,247.0,264.1,24866395
2022-01-18,258.8,234.7,228.9,259.39,48400824
2022-01-19,232.9,244.86,221.3,249.0,36091987
2022-01-20,244.17,254.61,240.1,263.0,32906228
2022-01-21,252.99,246.9,246.0,259.8,29565107
2022-01-24,246.51,236.97,226.0,249.88,32567148
2022-01-25,237.0,239.59,231.0,243.55,23246923
2022-01-26,240.5,236.9,233.3,245.17,22477721
2022-01-27,235.0,254.29,233.1,260.0,30118155
2022-01-28,255.87,257.82,252.2,262.0,20415938
2022-01-31,258.98,269.42,258.81,269.6,15617398
2022-02-01,269.72,264.7,260.56,273.1,17039291
