date,open,close,low,high,volume
2023-12-15,14.6,12.505,12.33,14.9,2353740
2023-12-18,12.6,12.9,12.55,13.1,1224712
2023-12-19,12.925,12.61,12.55,13.6,407047
2023-12-20,12.64,12.805,12.55,12.905,304975
2023-12-21,12.805,13.16,12.71,13.29,520746
2023-12-22,13.24,13.71,13.16,13.795,551913
2023-12-25,13.8,13.5,13.31,14.335,538608
2023-12-26,13.75,13.52,13.4,13.765,161563
2023-12-27,13.65,13.655,13.505,13.7,155868
2023-12-28,13.66,13.605,13.5,13.9,288599
2023-12-29,13.665,13.7,13.6,13.785,97841
2024-01-03,13.71,14.245,13.71,14.3,156867
2024-01-04,14.5,14.155,14.45,14.5,98653
2024-01-05,14.195,14.185,14.5,14.3,62286
2024-01-08,14.18,14.315,14.135,14.46,136528
2024-01-09,14.39,14.15,14.105,14.39,127048
2024-01-10,14.19,14.2,14.135,14.4,208918
2024-01-11,14.34,13.995,13.7,14.34,241241
2024-01-12,14.0,13.81,13.705,14.8,230234
2024-01-15,13.85,13.805,13.76,13.96,130836
2024-01-16,13.805,13.755,13.56,13.86,208354
2024-01-17,13.795,13.85,13.63,13.9,151550
2024-01-18,13.9,13.7,13.7,13.9,99041
2024-01-19,13.765,13.7,13.5,13.78,136041
2024-01-22,13.71,13.9,13.635,14.45,245881
2024-01-23,14.1,14.895,13.935,14.95,1324424
2024-01-24,14.97,14.78,14.66,15.59,1640476
2024-01-25,14.88,14.975,14.6,15.19,456654
2024-01-26,15.13,14.965,14.83,15.34,417736
2024-01-29,15.0,15.5,14.875,15.165,250126
2024-01-30,15.105,15.28,15.5,15.6,686447
2024-01-31,15.42,15.465,15.235,15.835,643512
2024-02-01,15.56,15.34,15.315,15.67,275035
2024-02-02,15.34,15.3,15.2,15.4,304951
2024-02-05,15.37,15.405,15.22,15.475,276694
2024-02-06,15.445,16.65,15.415,16.165,612580
2024-02-07,16.7,17.69,16.65,18.25,3477339
2024-02-08,17.795,18.6,17.78,18.94,2634173
2024-02-09,18.3,17.355,17.7,18.3,1137105
2024-02-12,17.4,17.21,16.855,17.48,555263
2024-02-13,17.25,17.8,17.22,17.97,879049
2024-02-14,17.9,17.54,17.445,17.955,318627
2024-02-15,17.585,17.51,17.2,17.76,390250
2024-02-16,17.6,17.48,17.285,17.875,725979
2024-02-19,18.575,18.85,17.8,18.86,2210016
2024-02-20,18.865,18.25,17.67,19.15,1385718
2024-02-21,18.2,18.19,17.7,18.45,846481
2024-02-22,18.2,18.17,18.5,18.35,397984
2024-02-26,18.3,18.645,18.27,18.78,521378
2024-02-27,18.76,18.475,18.25,18.76,332593
2024-02-28,18.525,18.285,18.7,18.525,281091
2024-02-29,18.32,18.475,18.225,18.58,387464
2024-03-01,18.475,19.28,18.475,19.3,1587238
2024-03-04,19.385,19.17,18.92,19.48,964068
2024-03-05,19.2,19.28,18.92,19.33,339420
2024-03-06,19.35,19.565,19.155,19.695,742220
2024-03-07,19.62,19.59,19.5,19.815,564278
2024-03-11,19.695,19.4,18.58,19.77,492164
2024-03-12,19.45,19.215,18.6,19.45,454099
2024-03-13,19.265,19.175,19.1,19.44,283285
2024-03-14,19.18,19.3,18.66,19.225,456818
2024-03-15,19.225,18.97,18.86,19.295,357080
2024-03-18,19.6,19.32,18.65,19.47,558842
2024-03-19,19.3,19.6,18.8,19.44,389557
2024-03-20,19.125,18.865,18.735,19.165,247152
2024-03-21,18.95,19.1,18.815,19.115,175556
2024-03-22,19.155,18.79,18.45,19.225,386617
2024-03-25,18.77,18.905,18.655,19.0,214961
2024-03-26,18.91,19.3,18.88,19.175,172927
2024-03-27,19.5,18.94,18.77,19.85,121696
2024-03-28,18.965,18.955,18.81,18.98,130512
2024-03-29,18.97,19.35,18.97,19.445,478897
2024-04-01,19.3,19.905,19.3,20.0,862808
2024-04-02,19.91,19.76,19.58,19.95,287181
2024-04-03,19.78,20.255,19.71,20.3,969069
2024-04-04,20.255,20.5,19.955,20.26,259238
2024-04-05,20.5,19.98,19.815,20.17,192769
2024-04-08,20.0,20.1,19.86,20.5,168816
2024-04-09,20.2,19.685,19.505,20.2,318373
2024-04-10,19.695,19.545,19.42,19.95,260972
2024-04-11,19.58,19.285,19.21,19.68,202540
2024-04-12,19.285,19.23,19.16,19.445,201584
2024-04-15,19.3,19.41,19.25,19.615,219268
2024-04-16,19.455,19.27,19.225,19.49,104463
2024-04-17,19.37,19.145,19.1,19.37,109913
2024-04-18,19.12,19.8,18.86,19.15,164859
2024-04-19,19.1,19.165,18.94,19.19,105260
2024-04-22,19.17,19.125,19.35,19.4,169491
2024-04-23,19.185,18.985,18.92,19.25,132435
2024-04-24,18.99,19.35,18.84,19.115,114851
2024-04-25,19.55,19.7,18.92,19.145,101652
2024-04-26,19.7,19.75,19.0,19.19,129097
2024-04-27,19.85,19.14,19.45,19.25,115973
2024-04-29,19.14,19.15,19.15,19.175,56715
2024-04-30,19.18,19.5,19.2,19.18,53030
2024-05-02,19.3,18.935,18.875,19.65,68288
2024-05-03,19.0,18.61,18.35,19.0,793831
2024-05-06,18.515,18.265,18.225,18.545,222655
2024-05-07,18.265,18.65,18.22,18.89,276369
2024-05-08,18.8,19.24,18.55,19.29,307844
2024-05-10,19.235,19.695,19.195,19.71,271463
2024-05-13,19.9,20.2,19.875,20.245,526005
2024-05-14,20.34,19.8,19.715,20.495,637170
2024-05-15,19.795,19.82,19.4,19.965,501927
2024-05-16,19.38,19.36,18.8,19.65,1261127
2024-05-17,19.36,19.24,19.5,19.445,198541
2024-05-20,19.3,18.825,18.58,19.3,406164
2024-05-21,18.99,18.975,18.8,19.2,149726
