date,open,close,low,high,volume
2021-10-04,6788.0,6667.0,6650.0,6943.0,425373
2021-10-05,6690.0,6835.0,6660.0,6885.0,295792
2021-10-06,6890.0,6986.0,6784.0,7011.0,509394
2021-10-07,7000.0,7140.0,6996.0,7236.0,409830
2021-10-08,7158.0,7155.0,7063.0,7244.5,272093
2021-10-11,7170.0,7206.0,7051.0,7225.0,226779
2021-10-12,7198.0,7331.5,7133.0,7361.0,332119
2021-10-13,7360.0,7610.5,7290.0,7677.5,720102
2021-10-14,7644.0,7767.5,7542.0,7924.5,550164
2021-10-15,7820.0,7820.0,7678.5,7894.0,248436
2021-10-18,7850.0,7724.0,7700.0,7945.0,293809
2021-10-19,7728.0,7805.0,7485.0,7836.5,281265
2021-10-20,7848.0,7824.5,7770.0,7944.0,322980
2021-10-21,7858.0,7853.0,7815.0,7924.0,194641
2021-10-22,7860.5,7660.0,7642.5,7910.0,180045
2021-10-25,7660.0,7600.0,7500.0,7754.0,201947
2021-10-26,7649.0,7310.0,7300.0,7649.0,272759
2021-10-27,7348.0,7268.0,7067.0,7449.0,400760
2021-10-28,7268.0,7397.0,7208.0,7420.0,301412
2021-10-29,7469.0,7310.0,7185.5,7469.0,216205
2021-11-01,7325.0,7791.0,7304.0,7816.0,413202
2021-11-02,7825.0,7867.0,7700.0,7970.0,318507
2021-11-03,7899.0,7853.0,7702.0,7944.0,211126
2021-11-05,7900.0,8025.0,7760.0,8040.0,281540
2021-11-08,8005.0,8345.0,8005.0,8518.5,508180
2021-11-09,8400.0,7983.5,7876.5,8474.0,398132
2021-11-10,7983.5,7654.0,7605.0,8180.0,538749
2021-11-11,7670.0,7508.0,7312.0,7780.0,760765
2021-11-12,7559.0,7334.0,7230.0,7559.0,421674
2021-11-15,7335.0,7422.5,7335.0,7682.0,660174
2021-11-16,7465.0,7395.5,7142.5,7542.0,533269
2021-11-17,7450.0,7242.0,7217.0,7450.0,447895
2021-11-18,7225.0,7382.0,7150.0,7460.0,370274
2021-11-19,7420.0,7094.5,7032.0,7480.0,517042
2021-11-22,7075.0,6616.0,6537.5,7150.0,869620
2021-11-23,6600.0,7048.0,6308.0,7050.0,1189428
2021-11-24,7071.0,6888.0,6827.0,7356.0,864221
2021-11-25,6935.0,7262.0,6903.5,7324.5,573402
2021-11-26,7000.0,6811.0,6780.0,7150.0,556407
2021-11-29,6950.0,6938.0,6814.0,7099.0,437381
2021-11-30,6741.0,7114.0,6529.0,7245.0,976660
2021-12-01,7255.5,7358.0,7175.0,7542.0,789235
2021-12-02,7477.0,7222.0,7175.5,7519.5,365491
2021-12-03,7271.0,7307.5,7220.0,7405.0,341348
2021-12-06,7352.0,6679.0,6629.5,7407.5,674227
2021-12-07,6755.0,6563.0,6315.0,6913.0,986786
2021-12-08,6600.0,6245.5,6141.0,6750.0,828078
2021-12-09,6212.0,6322.5,6020.0,6523.0,667756
2021-12-10,6360.0,6310.0,6113.0,6392.0,432123
2021-12-13,6330.0,5920.0,5870.0,6445.0,730184
2021-12-14,5890.0,5970.0,5400.5,6048.0,662829
2021-12-15,5982.5,6140.0,5866.0,6186.0,349500
2021-12-16,6170.0,6112.5,5980.0,6300.0,767424
2021-12-17,6149.5,6119.0,6020.0,6186.0,355210
2021-12-20,6098.0,6006.0,5830.0,6139.0,277098
2021-12-21,6014.0,6105.0,5985.0,6274.0,430623
2021-12-22,6130.0,5960.0,5960.0,6160.0,365015
2021-12-23,5965.0,5973.0,5870.0,6035.0,241220
2021-12-24,5989.5,5992.0,5855.0,6030.0,164133
2021-12-27,5989.0,6013.0,5926.5,6096.0,186789
2021-12-28,6013.0,6099.0,5953.0,6210.0,286268
2021-12-29,6100.0,5961.0,5880.0,6146.0,344875
2021-12-30,5940.0,6118.0,5902.5,6162.5,406409
2022-01-03,6148.0,6364.5,6112.5,6382.5,249562
2022-01-04,6400.0,6264.5,6202.0,6481.0,406991
2022-01-05,6279.5,5805.0,5805.0,6280.0,391908
2022-01-06,5810.0,5801.5,5712.5,5985.0,534231
2022-01-10,5900.0,5830.0,5737.0,5900.0,312797
