date,open,close,low,high,volume
2021-10-04,1482.0,1461.8,1448.2,1487.6,269232
2021-10-05,1461.8,1466.0,1437.6,1478.4,298911
2021-10-06,1466.0,1448.2,1431.2,1470.4,332159
2021-10-07,1458.2,1495.0,1442.8,1495.0,351450
2021-10-08,1495.6,1465.0,1460.0,1498.4,268701
2021-10-11,1468.6,1456.6,1438.0,1470.2,308557
2021-10-12,1456.6,1468.0,1447.2,1489.2,440592
2021-10-13,1457.0,1473.2,1452.6,1478.4,215797
2021-10-14,1475.0,1472.8,1470.0,1486.8,252336
2021-10-15,1470.0,1495.0,1468.2,1499.6,281750
2021-10-18,1498.6,1570.6,1491.0,1571.0,780976
2021-10-19,1571.6,1573.8,1563.4,1591.0,489546
2021-10-20,1573.2,1614.8,1572.0,1619.4,536887
2021-10-21,1609.0,1596.2,1586.0,1618.6,368078
2021-10-22,1600.0,1546.0,1538.0,1603.0,572301
2021-10-25,1539.0,1547.0,1522.0,1555.8,390036
2021-10-26,1559.0,1515.4,1509.0,1559.0,293064
2021-10-27,1515.4,1540.2,1502.8,1546.2,382941
2021-10-28,1539.0,1504.2,1484.6,1545.2,708776
2021-10-29,1504.2,1461.2,1443.6,1509.0,685926
2021-11-01,1473.0,1463.4,1439.8,1473.0,513954
2021-11-02,1465.6,1441.4,1434.0,1469.0,404661
2021-11-03,1443.8,1449.8,1437.2,1457.4,234897
2021-11-05,1455.6,1438.0,1427.0,1455.6,222622
2021-11-08,1442.0,1433.8,1426.2,1457.0,345439
2021-11-09,1428.8,1405.0,1400.6,1435.6,566013
2021-11-10,1408.8,1379.4,1371.6,1415.6,598314
2021-11-11,1389.4,1391.0,1371.2,1397.2,385641
2021-11-12,1395.0,1403.0,1378.0,1413.8,581526
2021-11-15,1403.0,1388.8,1384.0,1414.0,314189
2021-11-16,1394.0,1389.4,1378.0,1401.0,319393
2021-11-17,1389.4,1380.8,1380.2,1400.0,253302
2021-11-18,1381.6,1385.0,1376.4,1398.8,280245
2021-11-19,1390.0,1325.8,1320.0,1395.0,1016631
2021-11-22,1329.2,1280.0,1259.2,1339.2,1101657
2021-11-23,1280.0,1295.0,1256.4,1296.0,764886
2021-11-24,1305.0,1290.2,1266.8,1311.8,442539
2021-11-25,1290.2,1279.0,1268.2,1301.6,326456
2021-11-26,1268.6,1206.8,1203.0,1268.6,775823
2021-11-29,1218.0,1244.8,1212.6,1265.4,661244
2021-11-30,1210.0,1247.0,1210.0,1267.4,893846
2021-12-01,1252.0,1264.8,1252.0,1300.0,570591
2021-12-02,1270.4,1348.2,1260.0,1378.6,1872900
2021-12-03,1347.0,1240.8,1212.4,1347.2,1832006
2021-12-06,1241.2,1167.8,1155.0,1272.0,1420848
2021-12-07,1158.6,1111.0,1088.2,1173.2,2137065
2021-12-08,1121.6,1041.4,1016.4,1129.4,2373138
2021-12-09,1038.4,1015.0,1001.2,1042.8,1758896
2021-12-10,1018.4,986.6,983.0,1053.8,1406483
2021-12-13,988.0,905.8,901.0,993.0,3176082
2021-12-14,914.4,897.4,842.8,950.0,1784666
2021-12-15,900.0,961.0,883.6,973.8,2233816
2021-12-16,966.0,982.8,951.4,1019.0,2445194
2021-12-17,983.0,962.0,940.0,1002.2,1109841
2021-12-20,957.2,912.0,891.0,957.8,1132410
2021-12-21,915.0,924.6,915.0,948.0,766537
2021-12-22,924.6,912.2,895.0,929.6,917662
2021-12-23,912.2,880.2,872.6,918.0,1592365
2021-12-24,878.4,877.0,850.0,884.2,1703926
2021-12-27,890.6,884.8,880.0,899.0,1105224
2021-12-28,885.0,876.6,870.0,894.2,1012576
2021-12-29,876.0,865.4,860.0,883.0,674634
2021-12-30,865.4,872.4,859.4,874.0,390648
2022-01-03,873.0,885.8,869.0,889.8,467173
2022-01-04,888.8,874.0,865.2,888.8,580510
2022-01-05,874.0,816.2,813.2,878.8,1320053
2022-01-06,811.6,793.0,774.0,836.2,2257970
2022-01-10,803.8,766.8,752.6,805.0,1333153
2022-01-11,770.0,770.8,756.0,780.2,1341076
2022-01-12,770.0,770.4,763.0,791.6,1678142
2022-01-13,768.4,754.6,739.4,783.0,1510462
2022-01-14,754.6,686.4,660.0,765.0,4354923
2022-01-17,686.4,710.6,652.0,722.2,2462653
2022-01-18,710.6,662.8,640.0,718.8,4019952
2022-01-19,664.8,675.6,612.2,696.8,4361780
2022-01-20,670.4,683.0,670.4,741.0,2822628
2022-01-21,684.0,645.8,640.2,688.4,2457074
2022-01-24,651.0,596.2,556.8,662.4,5354844
2022-01-25,595.0,594.2,562.2,613.4,3143743
2022-01-26,596.0,583.0,567.8,604.0,2970482
2022-01-27,576.0,591.2,571.0,609.4,3583278
2022-01-28,594.4,597.0,585.0,607.8,2296211
2022-01-31,597.2,630.0,597.2,635.0,2904546
2022-02-01,630.2,655.6,630.2,666.6,2948516
2022-02-02,659.8,633.0,615.6,685.0,3000323
2022-02-03,621.0,602.0,588.8,624.8,2683701
2022-02-04,611.0,580.8,555.0,623.0,3017470
2022-02-07,583.6,581.8,564.8,592.8,1389897
2022-02-08,580.0,609.8,578.2,614.0,1416064
2022-02-09,610.0,635.0,609.0,639.6,1495181
2022-02-10,647.0,607.4,598.4,656.4,2668981
2022-02-11,607.4,584.8,575.0,612.0,1772517
2022-02-14,580.2,596.0,559.8,596.0,2040775
2022-02-15,595.0,617.4,594.2,628.6,2075279
