date,open,close,low,high,volume
2021-10-04,257.2,258.4,254.7,262.0,12913532
2021-10-05,259.58,269.18,257.9,269.98,18587086
2021-10-06,269.9,270.8,263.55,274.5,25453344
2021-10-07,272.5,271.4,268.55,275.5,14809144
2021-10-08,271.75,272.98,269.15,273.75,10539592
2021-10-11,274.38,280.95,273.65,282.7,23786922
2021-10-12,279.8,276.95,276.3,279.75,10489294
2021-10-13,277.5,275.55,271.7,278.25,11805518
2021-10-14,276.88,276.85,272.8,280.0,13658840
2021-10-15,277.55,278.0,274.75,278.73,6773048
2021-10-18,277.95,278.83,275.3,279.13,5743776
2021-10-19,280.8,287.0,279.3,287.48,20504180
2021-10-20,286.0,283.5,281.23,287.5,13856840
2021-10-21,280.53,275.8,273.15,282.5,14481386
2021-10-22,276.5,272.0,271.3,279.5,13164506
2021-10-25,273.98,280.85,269.73,281.0,12845242
2021-10-26,282.35,279.85,277.78,282.35,11369330
2021-10-27,276.35,275.3,274.63,280.0,11073486
2021-10-28,274.73,268.83,265.4,276.43,15306762
2021-10-29,267.3,263.65,260.0,267.95,18674446
2021-11-01,263.75,267.7,261.6,267.75,11766204
2021-11-02,268.15,264.1,261.8,268.6,11258258
2021-11-03,262.25,264.43,259.0,264.93,9581250
2021-11-05,262.48,264.8,260.7,264.3,6370088
2021-11-08,265.5,261.85,259.33,266.85,9432392
2021-11-09,261.5,257.6,255.0,261.85,12611558
2021-11-10,256.9,250.13,250.0,258.33,14679508
2021-11-11,250.98,256.25,250.25,257.43,14849890
2021-11-12,256.55,251.45,247.85,257.7,18538960
2021-11-15,251.53,259.45,250.85,261.55,17546388
2021-11-16,260.65,255.2,254.5,261.23,10391308
2021-11-17,254.5,257.83,254.43,259.8,7497486
2021-11-18,257.68,262.75,252.65,265.5,17677488
2021-11-19,265.0,252.48,250.63,266.2,25503772
2021-11-22,250.75,242.3,240.15,251.8,24451098
2021-11-23,240.4,249.38,235.13,250.0,21020636
2021-11-24,250.65,246.75,244.63,251.83,9589752
2021-11-25,247.78,243.95,243.35,248.48,6880564
2021-11-26,238.5,232.9,232.6,239.95,17574084
2021-11-29,238.0,236.88,232.63,240.28,17274382
2021-11-30,232.85,235.98,232.2,240.0,17194780
2021-12-01,238.68,237.9,236.0,242.98,14794816
2021-12-02,238.0,244.65,238.0,245.4,12613184
2021-12-03,246.3,243.5,240.9,246.33,8205716
2021-12-06,243.9,240.5,237.18,246.1,10377070
